Môn học,Đại số tuyến tính,Giải tích,Kiến trúc máy tính,Lập trình Python cơ bản (2+1*),Cấu trúc dữ liệu và giải thuật (2+1*),Cơ sở kỹ thuật lập trình (2+1*),Mạng máy tính (2+1*),Cơ sở thẩm mỹ (2+1*),Thiết kế đồ họa cơ bản (2+1*),Thiết kế web cơ bản (2+1*),Pháp luật đại cương,Kỹ năng mềm,Tiếng Anh tăng cường,Giáo dục thể chất 1,Giáo dục thể chất 2,Giáo dục thể chất 3
10121825,8.7,9.8,8.5,7.7,8.2,9.4,7.8,7.8,7.5,8.4,7.9,7.9,4.5,8,8,9.0
10121830,8.8,7.7,8.3,9.3,8.7,9.3,6.7,8.8,8.3,8.3,6.7,7.9,2.5,8,7,8.0
10121185,7.3,6.9,5.3,7.8,6.0,4.3,0.0,6.0,6.0,6.5,7.3,7.1,1.0,6,8,7.0
10121863,8.2,6.9,7.8,7.3,6.9,5.2,5.7,5.3,6.5,7.3,7.5,7.2,2.5,8,8,7.0
10121465,5.3,5.3,4.5,7.5,6.0,5.4,6.8,3.8,6.5,5.5,5.0,7.1,1.5,6,7,6.0
10120666,8.3,6.0,7.3,6.5,0.0,5.0,0.0,6.0,6.0,6.0,6.8,8.8,6.5,7,0,6.0
10121102,8.2,7.3,6.5,7.4,7.4,6.4,5.9,6.0,5.8,5.5,7.0,7.2,3.5,6,8,7.0
10121894,6.9,5.0,6.5,6.5,5.7,4.0,5.4,6.3,6.0,6.0,7.3,7.1,0.0,8,8,8.0
10121898,6.2,4.8,7.3,8.0,5.2,6.4,5.8,6.3,6.8,6.3,6.5,7.9,0.5,6,7,7.0
10121970,0.0,0.0,2.5,3.5,3.0,3.0,0.0,4.5,6.0,8.3,0.0,7.1,0.0,0,0,6.0
10121924,8.6,5.8,7.5,8.8,8.0,7.4,7.5,8.0,6.8,8.5,6.8,7.9,1.5,8,7,6.0
10121646,8.4,5.3,7.0,6.5,6.8,6.4,7.0,7.5,6.8,6.3,7.0,7.2,0.0,8,8,7.0
10121043,4.9,4.0,6.5,6.8,5.8,5.5,7.0,6.5,6.8,7.3,7.5,7.1,5.0,8,7,5.0
10121967,6.3,7.0,6.8,8.2,8.0,8.7,7.0,6.5,0.0,7.8,8.3,0.0,6.5,7,7,6.0
10121263,5.7,6.9,7.0,7.0,6.5,5.7,7.0,6.5,7.3,6.8,7.8,7.9,2.5,7,7,8.0
10121944,7.2,8.0,9.0,8.8,7.9,8.4,8.2,8.0,6.5,8.0,7.3,7.9,4.5,7,7,7.0
10121948,6.5,5.5,7.5,8.5,7.3,6.0,6.2,7.5,6.8,6.8,7.5,7.1,0.0,7,7,6.0
10121551,8.7,6.7,8.0,7.4,6.5,6.6,6.8,6.8,7.5,6.8,8.0,8.3,1.5,8,8,8.0
10121069,5.7,4.1,6.8,8.0,6.2,5.4,6.3,6.3,7.3,7.5,7.3,8.1,1.5,8,8,7.0
10121671,7.8,6.3,6.5,7.9,5.5,5.4,5.4,7.4,6.0,6.0,6.3,8.3,3.5,6,8,8.0
10121050,7.0,6.5,7.5,6.7,5.8,6.6,6.9,7.0,6.8,5.8,7.0,2.0,1.5,7,8,8.0
10121144,5.4,5.0,4.0,7.3,0.0,4.6,5.4,6.8,5.5,6.5,7.4,7.9,2.5,6,8,8.0
10121439,9.3,8.8,8.8,8.7,8.6,7.4,7.4,7.8,8.8,8.3,7.5,8.9,1.0,8,7,6.0
10121412,7.0,8.7,8.8,7.8,6.1,5.0,7.0,7.4,8.0,8.0,7.0,8.2,4.0,8,8,6.0
10121538,7.0,8.3,4.5,7.2,6.4,7.2,5.9,7.5,7.3,5.3,6.3,9.2,2.0,9,8,8.0
10121581,8.0,6.8,7.5,8.3,6.0,6.1,6.2,7.7,6.8,6.8,6.8,8.4,2.5,9,8,7.0
10121841,8.2,8.3,8.5,7.5,7.6,6.3,7.4,7.3,7.8,6.8,6.8,8.2,5.5,8,7,7.0
10121054,7.8,6.9,6.5,4.9,6.3,6.2,7.3,7.6,7.5,7.0,7.5,8.4,5.5,7,6,7.0
10121049,5.8,6.7,8.3,8.2,6.0,6.0,6.8,7.0,6.8,7.5,5.9,8.1,0.0,8,7,8.0
10121002,6.9,4.8,7.0,8.3,6.2,5.5,7.3,6.8,7.0,7.3,7.8,8.6,3.0,7,7,8.0
10121375,6.5,4.3,5.0,7.4,5.5,5.2,6.7,8.3,7.5,6.5,6.2,8.1,1.5,6,8,6.0
10121659,7.2,7.7,8.0,8.3,6.2,5.3,6.2,6.8,6.8,6.8,6.8,8.2,2.0,9,7,7.0
10121503,7.7,5.6,7.5,7.0,6.2,6.2,6.5,7.8,7.5,8.0,7.9,8.0,2.0,7,7,7.0
10121096,7.4,7.2,5.0,6.2,3.7,5.2,6.3,7.2,5.5,6.8,6.9,8.2,0.0,9,9,8.0
10121499,7.6,8.4,8.3,8.2,6.7,6.2,7.2,7.9,8.0,7.5,6.3,8.3,3.5,8,8,6.0
10121929,8.4,7.9,8.3,7.3,5.7,6.9,6.2,7.8,7.0,6.3,6.4,8.0,4.0,7,7,6.0
10121940,8.1,7.3,6.0,7.0,7.3,6.5,6.5,5.8,6.0,6.0,7.3,8.1,5.5,8,9,10.0
11021108,6.8,7.5,5.8,8.8,7.1,5.9,6.4,8.0,7.5,7.5,6.0,8.3,1.0,9,8,8.0
10121163,7.5,6.0,7.0,7.5,5.3,5.2,6.4,7.0,7.3,3.3,7.5,7.9,5.0,7,8,8.0
10121949,5.8,5.1,6.8,7.7,5.0,6.4,5.4,7.1,6.3,5.8,4.9,8.1,0.0,7,7,7.0
10121136,6.5,6.7,4.5,7.4,4.3,6.5,6.0,6.9,4.5,6.0,5.0,8.1,1.0,5,7,7.0
10121133,7.2,6.7,7.0,9.0,7.1,7.7,7.2,6.8,7.3,8.0,6.9,8.1,4.5,8,9,7.0
10121356,7.9,6.1,6.5,7.5,6.2,6.8,5.9,7.3,6.8,5.0,5.5,6.5,2.0,7,6,7.0
10121171,5.3,4.9,5.0,7.3,0.0,7.0,5.8,7.3,7.0,7.3,6.8,9.0,3.5,8,8,9.0
10121355,6.5,6.9,6.3,6.5,5.9,5.9,6.2,8.0,7.3,7.0,6.3,6.8,2.5,7,5,8.0
10121397,8.5,7.4,8.8,6.9,5.9,6.9,6.7,5.8,7.3,6.9,5.8,7.1,0.0,8,7,9.0
10121321,8.9,7.3,7.8,7.2,5.7,6.0,6.5,9.0,7.8,6.7,6.7,7.7,2.5,6,6,9.0
10121764,5.0,4.9,5.0,6.3,7.4,7.5,5.7,7.0,6.8,8.5,5.2,8.6,7.5,7,8,7.0
10121208,8.3,7.4,8.3,8.9,7.4,9.0,6.3,7.5,8.5,8.5,7.9,9.0,2.5,8,7,8.0
12221052,6.0,5.0,6.3,4.5,7.7,6.1,6.0,5.5,7.0,5.0,5.9,7.7,3.5,6,8,8.0
10121512,7.3,5.2,6.3,7.8,6.3,7.8,6.3,5.8,6.5,5.0,6.5,8.9,1.5,8,7,7.0
10121697,4.9,5.3,3.8,7.8,5.7,4.5,5.4,6.8,6.0,6.8,6.0,8.5,0.0,7,7,6.0
10121598,8.0,6.7,7.5,6.5,6.3,8.0,6.3,7.3,7.5,7.0,6.5,8.8,2.0,8,8,8.0
10121306,7.5,4.7,5.8,5.5,0.0,6.8,5.9,6.5,6.5,5.8,6.5,8.8,3.0,6,7,7.0
10121186,7.0,4.8,7.8,7.8,0.0,8.4,6.5,9.0,6.0,5.0,7.8,9.0,1.5,9,8,8.0
10121815,8.8,8.6,7.5,7.8,7.3,8.0,7.7,7.0,6.8,8.0,7.2,9.2,2.0,7,7,7.0
10121204,8.8,5.0,5.8,7.5,0.0,8.1,6.3,6.8,6.8,9.8,6.2,8.8,2.5,8,8,6.0
10121024,7.5,0.0,4.3,7.3,5.8,4.5,0.0,6.3,5.5,2.0,4.8,0.9,0.0,5,0,7.0
10121696,6.8,5.7,6.8,7.4,6.2,6.1,6.5,5.3,6.5,6.3,7.3,8.6,2.0,6,7,7.0
10121431,8.5,5.1,9.0,8.5,7.9,7.4,6.3,7.3,6.5,9.3,8.7,7.9,4.5,10,8,8.0
10621735,6.3,4.5,5.5,6.9,5.3,7.9,5.3,0.0,7.0,5.0,6.8,2.2,1.5,6,7,0.0
10121968,8.5,7.9,8.8,8.5,8.8,8.6,6.8,8.5,7.0,8.8,7.2,9.3,5.0,7,8,7.0
10121533,4.3,4.0,5.8,6.4,0.0,5.8,6.0,6.0,7.3,6.9,6.7,8.3,3.0,6,7,8.0
10121275,6.4,6.7,6.8,6.9,0.0,6.3,5.3,0.0,7.0,5.3,5.3,7.4,2.5,6,0,0.0
10121194,8.0,5.3,8.3,7.5,0.0,6.5,5.8,0.0,6.5,8.4,6.8,2.6,5.0,7,7,7.0
10121890,8.0,6.7,8.0,7.0,7.3,7.5,6.8,6.5,7.0,7.3,7.3,8.2,1.5,8,7,9.0
10121339,9.0,5.7,5.3,7.8,0.0,5.6,5.9,8.3,7.0,8.2,7.0,8.2,5.0,0,8,7.0
10121461,7.5,5.3,6.0,8.0,8.2,7.7,6.2,7.8,6.5,9.8,5.5,8.6,2.0,8,8,8.0
10121905,6.3,6.9,6.3,6.5,7.3,6.8,7.5,6.3,7.3,6.4,6.5,9.1,2.0,8,7,10.0
10121912,7.4,8.0,8.0,6.2,7.6,7.3,6.5,8.3,6.8,7.5,6.9,8.6,5.5,9,7,7.0
10121170,7.0,4.9,6.5,6.9,7.4,7.9,6.9,5.8,7.0,6.8,6.5,8.1,1.0,7,7,6.0
10121595,7.5,5.8,6.5,7.5,6.3,7.6,6.4,6.5,7.5,7.3,7.4,8.9,1.5,9,8,9.0
10121203,8.0,4.8,6.0,6.2,0.0,7.9,7.0,7.3,7.3,7.0,8.0,8.1,2.0,8,7,8.0
10121184,5.5,4.2,7.8,5.5,0.0,6.4,6.5,5.0,5.8,2.0,7.2,8.4,1.0,7,6,6.0
12521068,7.3,7.9,8.8,8.4,7.4,8.5,7.0,7.8,7.0,9.5,6.9,9.3,2.0,9,8,6.0
10121727,6.0,5.2,6.5,7.2,7.0,7.0,5.9,7.3,6.5,7.0,6.9,9.3,2.5,7,8,9.0
10121162,7.0,4.3,8.3,8.8,6.7,7.0,6.4,6.5,7.3,6.5,8.3,8.9,2.5,7,8,8.0
10121090,7.3,5.9,7.5,6.5,6.8,7.3,6.2,7.3,7.3,7.0,6.5,8.1,2.0,9,8,8.0
10121957,7.8,6.2,8.3,8.0,6.5,8.8,7.0,7.8,7.0,8.6,7.3,9.0,3.5,7,8,8.0
12521106,6.9,7.2,9.0,7.4,6.9,7.7,7.3,7.3,8.3,8.5,6.4,9.4,7.0,9,7,6.0
10121741,7.3,7.0,4.8,6.4,7.0,7.3,7.4,7.0,7.8,5.8,6.3,9.4,3.0,8,9,8.0
10121750,7.7,7.2,7.0,5.7,6.4,7.4,6.4,7.3,7.0,7.5,7.0,9.3,3.5,7,8,7.0
10121382,8.4,4.5,7.0,7.7,5.4,5.8,5.5,6.9,5.8,7.0,7.0,8.6,5.0,0,7,6.0
10621254,7.5,6.4,6.3,8.3,6.8,5.8,6.9,6.9,6.5,5.8,8.5,8.9,2.0,8,9,9.0
10121570,5.7,6.8,6.8,7.9,6.0,5.5,4.4,6.8,6.3,5.0,4.3,8.8,1.0,7,7,6.0
10121780,7.4,7.8,5.8,6.3,5.8,7.0,7.2,7.5,6.5,6.3,5.7,9.1,0.0,8,7,7.0
10121796,7.8,5.5,8.3,6.8,5.8,7.2,7.4,7.0,7.3,7.9,5.2,9.2,2.5,6,7,8.0
10121798,7.3,7.7,7.5,8.2,6.4,7.4,7.5,7.5,7.0,7.0,6.7,9.1,2.5,9,8,6.0
10121112,7.5,6.4,8.3,8.7,6.3,7.1,6.5,6.8,7.5,5.3,6.3,8.9,2.0,6,9,7.0
10121812,6.8,6.7,6.3,6.0,6.2,6.7,5.7,6.7,6.3,6.3,5.9,8.7,7.5,7,7,0.0
10121821,6.8,8.1,8.0,7.3,6.9,7.8,7.0,7.4,7.3,10.0,7.0,9.0,0.0,6,9,8.0
10121832,7.3,6.7,4.5,5.8,6.0,7.4,6.8,6.0,7.3,5.8,7.3,9.0,5.0,6,7,5.0
10121014,8.2,7.3,7.5,8.6,6.2,5.5,4.3,7.3,6.8,2.0,8.0,8.0,1.0,8,9,6.0
10121842,7.8,6.8,6.0,6.2,4.3,7.6,6.2,7.0,7.0,5.8,6.9,9.1,3.0,7,7,6.0
10121845,6.5,6.8,5.8,5.7,5.4,6.5,6.4,7.0,7.8,7.3,5.2,9.2,1.0,7,8,6.0
10121857,8.0,8.2,5.0,6.7,5.5,8.1,6.8,7.8,6.5,8.8,6.4,9.5,2.0,6,8,8.0
10121359,8.0,5.0,6.3,8.3,7.4,6.4,0.0,7.1,6.8,2.0,8.0,8.1,3.5,7,7,7.0
10121111,5.6,5.5,3.3,8.2,6.4,5.3,4.0,7.0,5.3,1.5,5.5,8.0,3.0,6,8,6.0
10121874,6.9,6.6,6.5,5.2,6.9,6.6,6.5,7.3,7.0,7.0,6.9,9.4,0.0,7,8,6.0
10121876,5.3,6.7,8.3,7.0,7.4,7.9,5.7,6.8,7.3,4.0,8.0,9.1,3.5,7,9,6.0
10121973,6.7,7.9,9.0,6.9,6.8,7.7,8.2,7.3,7.8,6.5,8.2,9.4,2.5,9,8,7.0
10121887,7.3,5.7,4.5,3.5,5.3,7.0,5.5,7.3,6.5,6.5,4.5,9.3,0.0,8,7,9.0
10121116,7.3,7.7,6.8,3.9,7.0,8.2,7.0,7.5,7.0,5.0,8.3,8.9,2.0,8,8,8.0
10121323,9.3,7.2,7.5,8.8,5.5,6.5,0.0,0.0,7.0,2.0,7.5,8.3,1.0,8,8,6.0
10121213,7.4,6.8,6.8,6.8,6.5,6.3,5.0,7.7,7.5,5.5,7.5,9.1,1.0,6,8,6.0
10121100,8.8,5.8,8.3,8.0,7.9,7.0,0.0,6.8,7.0,5.0,7.8,9.1,2.5,8,8,7.0
10121907,8.5,9.0,8.5,7.0,7.9,9.5,7.8,7.5,8.0,9.3,7.5,9.2,6.0,8,8,5.0
10121960,9.8,9.9,8.8,8.4,7.0,6.5,3.9,7.8,7.0,2.8,8.0,9.6,1.5,8,8,10.0
10121097,6.6,6.9,8.0,6.5,6.9,6.0,0.0,6.0,7.3,6.5,6.3,9.2,1.0,8,8,8.0
10121956,7.0,7.1,8.3,7.3,5.4,5.6,6.2,7.5,7.0,6.5,6.8,9.3,2.5,8,8,7.0
10122013,7.8,7.0,7.5,5.5,5.3,6.5,6.4,6.5,7.4,5.8,7.0,8.3,7.0,8,7,7.0
10122051,9.1,8.4,8.8,6.5,7.2,6.1,5.8,8.5,8.0,7.3,7.5,8.9,7.5,9,6,9.0
10122075,7.6,6.5,6.8,7.2,5.7,6.1,6.6,6.8,8.0,6.3,7.0,8.7,6.5,7,6,7.0
10122082,6.2,7.6,8.0,7.5,7.9,7.9,7.2,7.8,8.3,8.8,8.4,8.6,6.5,9,7,9.0
10122106,7.7,7.9,9.0,6.7,5.5,8.2,6.9,8.5,7.8,6.8,6.9,8.4,6.5,6,7,6.0
10122108,7.3,8.3,7.8,7.2,6.7,5.8,7.1,7.8,6.3,6.5,7.7,8.3,6.5,9,7,8.0
10122112,8.9,8.9,7.8,6.8,7.6,7.8,6.9,7.3,8.0,8.0,7.8,8.7,6.5,9,6,9.0
10122132,6.3,8.4,7.3,6.9,5.6,5.3,6.9,9.3,7.3,8.2,8.0,9.0,7.5,7,7,9.0
10122133,6.0,8.7,8.0,6.5,7.4,8.3,6.0,8.0,7.0,8.3,7.8,8.0,6.5,8,9,9.0
10122136,7.2,0.3,6.3,5.9,5.4,1.0,6.1,0.0,5.5,6.3,6.5,8.4,6.5,7,8,7.0
10122143,7.7,7.3,8.5,7.2,5.9,6.3,6.5,8.0,7.5,6.0,6.8,8.8,7.0,8,8,6.0
10122203,8.4,8.8,9.0,8.3,7.7,9.5,7.7,7.3,7.0,8.3,8.8,8.5,6.5,8,7,9.0
10122220,8.8,7.4,9.3,7.3,5.3,6.3,6.6,6.0,6.8,7.8,6.8,8.4,7.0,7,4,8.0
10122231,7.2,7.9,8.8,7.5,7.0,6.8,7.5,7.3,7.5,6.8,7.8,8.5,8.0,9,6,6.0
10122236,6.5,7.5,6.0,6.5,5.4,5.0,6.4,5.8,7.5,7.0,7.3,8.0,6.5,9,6,6.0
10122255,5.8,7.2,6.8,6.8,6.5,6.8,5.4,5.5,7.0,5.0,6.8,8.2,7.0,8,6,6.0
10122257,7.3,7.0,7.3,5.9,6.3,6.9,5.7,5.5,6.5,5.0,7.8,8.3,8.5,8,5,7.0
10122275,6.8,7.3,6.8,6.4,6.0,9.0,5.9,6.3,6.5,8.3,7.4,8.2,6.5,9,7,6.0
10122425,8.6,5.8,7.5,5.7,7.1,7.4,6.0,7.8,7.5,8.2,7.0,8.5,7.0,8,8,8.0
10122309,7.5,7.7,6.0,6.9,6.8,7.3,7.1,6.0,7.0,6.8,8.5,8.4,6.5,8,9,6.0
10122318,7.5,6.3,6.0,7.0,6.2,7.9,7.2,6.3,7.7,5.8,7.1,8.4,7.0,8,6,7.0
10122320,8.9,6.3,6.3,5.2,7.9,1.5,7.1,5.3,5.5,5.5,6.9,8.2,4.5,7,7,6.0
10122321,8.2,9.6,7.0,7.2,7.7,7.8,7.8,7.5,8.5,8.5,7.5,8.5,7.0,8,8,7.0
10122322,9.3,6.4,7.0,5.5,8.5,6.0,7.4,6.3,5.8,5.5,6.4,8.9,6.5,8,7,7.0
