student_id,dai_so_tuyen_tinh,giai_tich,kien_truc_may_tinh,lap_trinh_python_co_ban,cau_truc_du_lieu_va_giai_thuat,co_so_ky_thuat_lap_trinh,mang_may_tinh,co_so_tham_my,thiet_ke_do_hoa_co_ban,thiet_ke_web_co_ban,phap_luat_dai_cuong,ky_nang_mem,tieng_anh_tang_cuong,giao_duc_the_chat_1,giao_duc_the_chat_2,giao_duc_the_chat_3,do_an_1,do_hoa_vector,hinh_hoa,thiet_ke_dan_trang,thiet_ke_do_hoa_nang_cao,tieng_anh_1,vat_ly_ky_thuat
10121534,5.8,5.5,5.0,6.8,6.4,6.0,7.3,7.8,7.8,7.5,7.0,8.3,4.0,7,7,7.0,8.0,7.3,5.8,7.8,7.3,7.5,7.5
10121479,8.7,5.3,7.5,7.0,4.2,0.0,6.0,4.8,5.0,5.5,7.8,8.4,4.5,7,8,6.0,6.0,6.0,6.3,7.3,6.5,6.7,8.0
10121336,7.4,7.7,9.0,7.4,5.3,7.5,6.9,7.3,7.0,8.7,6.2,7.4,2.0,8,6,8.0,8.0,7.3,7.5,7.5,7.3,7.7,7.8
10121788,7.7,3.5,6.0,6.3,6.8,6.5,7.7,5.5,7.5,7.8,7.5,8.2,6.5,7,7,7.0,7.0,8.0,7.0,6.5,7.3,8.3,7.4
10121046,6.8,5.2,8.3,6.8,5.4,5.5,7.3,6.0,7.5,5.5,7.0,8.2,5.5,6,7,6.0,6.8,7.0,7.0,7.0,7.0,7.3,7.7
10121805,7.5,8.7,9.0,8.3,6.5,5.1,7.7,8.3,7.5,7.0,8.5,8.7,4.0,7,8,7.0,8.5,6.8,6.8,7.3,7.0,7.6,8.2
10121485,7.0,6.4,7.8,7.3,6.2,6.0,6.4,7.8,7.0,5.0,7.8,8.4,4.5,8,7,7.0,6.3,5.8,6.8,7.0,6.5,6.5,8.1
10121810,8.4,9.2,7.5,6.7,6.6,7.2,6.9,5.0,6.5,5.0,8.3,8.4,1.5,7,6,7.0,6.5,5.8,5.0,5.5,5.5,5.7,7.0
10121813,6.7,5.8,6.5,8.8,6.5,5.6,5.2,5.0,8.0,7.8,5.5,7.9,0.0,6,6,7.0,8.0,6.5,5.0,7.3,6.3,0.0,7.3
10121214,8.5,6.7,6.5,7.7,5.3,4.7,6.5,7.8,7.0,5.0,7.8,8.2,3.0,8,7,7.0,7.2,7.0,6.8,7.3,5.8,7.0,8.2
10121602,7.3,6.4,4.5,6.9,5.5,6.1,6.7,6.3,7.3,5.0,6.8,8.2,6.0,6,9,7.0,4.5,7.0,,7.0,6.8,7.6,7.3
10121837,5.0,6.7,8.8,8.5,6.3,5.8,6.3,6.8,7.0,6.0,4.0,8.5,3.5,7,8,8.0,8.0,8.0,6.5,7.5,6.0,7.2,8.2
10121850,7.7,6.5,5.0,5.9,6.7,7.4,7.5,7.3,7.0,8.5,7.0,8.7,6.5,9,8,10.0,9.3,8.0,8.0,7.3,8.3,8.0,8.0
10121860,0.0,0.0,7.3,7.8,5.0,6.0,6.9,2.0,3.3,1.5,5.5,8.0,2.5,6,7,0.0,6.3,0.0,2.0,0.0,6.5,6.7,7.8
10121861,7.5,5.3,7.8,8.0,5.5,5.9,7.3,6.3,7.3,7.7,5.8,8.2,7.0,6,8,9.0,7.3,7.0,7.3,7.0,8.0,8.5,8.1
10121864,7.5,7.5,6.8,7.8,6.7,5.8,7.3,8.3,6.5,7.5,8.8,8.2,3.0,6,8,8.0,7.4,7.8,6.5,7.0,7.3,8.8,7.0
12521031,9.4,9.3,6.5,6.8,6.5,7.6,7.3,8.8,6.3,7.8,8.5,8.2,3.0,8,6,9.0,1.5,8.3,6.8,7.0,8.3,8.6,8.3
10121041,7.4,6.4,7.3,7.8,7.3,6.5,6.8,8.5,5.5,3.5,8.0,8.3,4.0,8,8,8.0,6.3,6.5,6.5,6.5,6.8,6.6,7.9
10121161,8.9,6.8,9.3,6.3,8.8,8.3,7.0,6.8,7.3,8.0,7.5,8.5,6.0,8,8,7.0,8.7,7.8,7.3,6.8,6.5,7.5,7.9
10121443,8.5,7.4,8.0,7.3,6.2,8.3,7.0,8.3,6.8,7.5,7.2,8.1,4.5,8,8,8.0,7.7,8.0,7.0,7.8,7.8,7.1,8.0
10121022,4.7,3.9,3.5,7.4,5.9,4.3,6.4,5.8,6.8,6.0,6.8,7.7,6.0,8,7,7.0,6.8,7.8,7.3,7.3,6.3,7.0,6.4
10121464,7.2,5.8,8.5,6.9,7.2,5.3,6.9,7.5,6.5,8.5,7.5,8.4,5.0,9,8,8.0,7.9,8.3,8.3,7.5,7.0,7.1,7.7
10121591,7.4,7.2,6.5,7.0,7.2,5.8,7.2,6.0,6.8,6.4,7.5,8.1,2.0,8,8,7.0,6.9,7.8,6.3,7.8,6.3,7.2,7.2
10121915,8.2,6.4,8.3,7.3,6.3,6.0,7.9,8.8,6.8,6.5,7.8,8.6,2.5,9,8,6.0,6.8,6.8,8.3,7.5,8.5,7.3,6.3
10121925,7.6,7.6,8.5,8.8,8.2,8.4,7.3,8.3,7.0,9.3,7.5,8.5,4.5,8,8,7.0,9.3,8.8,8.5,8.0,8.5,8.2,7.8
12521157,7.2,5.9,5.5,7.8,4.9,6.4,5.8,6.3,0.0,4.0,6.2,8.2,0.0,7,6,0.0,0.0,7.3,6.0,6.0,6.3,4.0,7.2
10121010,7.3,6.4,6.0,7.4,3.8,4.7,5.3,6.3,4.0,1.5,6.5,7.7,0.0,6,7,6.0,6.5,7.0,6.3,5.5,5.8,5.1,7.1
10121117,7.2,6.6,6.8,7.5,6.4,7.1,6.0,6.5,5.5,6.7,8.0,8.7,6.5,8,9,8.0,4.5,6.5,6.3,7.0,5.5,6.7,8.3
10121605,6.5,7.1,7.5,7.2,7.0,6.1,7.0,7.0,6.8,0.0,6.3,7.0,3.5,8,9,2.0,5.2,2.5,5.9,7.0,8.3,4.0,1.8
10121771,8.3,6.8,7.5,8.8,7.7,7.3,7.2,9.0,7.0,5.0,6.5,7.9,8.0,7,8,6.5,6.5,7.3,7.5,8.0,8.3,7.1,6.9
10121456,8.7,9.2,8.8,8.8,8.0,7.9,9.2,7.0,7.2,6.8,9.0,8.4,7.8,8,8,8.3,7.3,8.3,7.8,9.0,8.3,8.5,7.7
10121130,7.9,4.8,5.0,7.5,6.3,5.8,6.9,8.0,6.2,6.8,8.3,8.4,7.3,8,7,6.5,6.3,2.7,6.7,8.0,8.5,6.0,7.1
10121394,9.2,7.3,7.3,8.6,6.8,7.2,6.8,7.0,5.3,6.5,7.5,8.4,5.5,8,8,5.5,7.3,6.4,6.9,7.8,8.5,7.8,8.0
10121801,7.3,6.6,7.0,6.3,6.4,7.3,7.3,8.0,6.2,7.8,5.8,7.9,7.5,7,7,8.0,6.7,2.5,7.8,8.0,8.8,7.8,7.1
10121814,8.0,7.9,6.3,6.3,6.9,7.9,8.0,7.0,7.0,7.3,6.9,7.9,5.8,8,8,7.5,7.3,7.2,7.9,8.5,8.6,8.6,8.6
10121414,9.4,7.7,7.8,8.9,7.0,6.9,6.8,9.0,6.9,7.0,9.3,7.9,6.5,9,9,6.5,6.2,6.7,6.8,8.5,7.9,8.1,7.6
10121652,9.2,8.4,8.8,7.3,7.2,7.2,8.2,7.0,6.9,7.0,7.5,8.4,6.0,8,7,7.5,5.9,6.5,7.8,8.3,8.9,8.5,7.3
10121352,7.6,6.8,8.3,8.3,5.7,7.2,8.0,8.0,6.4,7.0,7.3,7.9,8.5,8,9,6.3,6.0,6.8,6.9,7.8,8.6,8.1,7.2
10121120,8.0,7.2,7.5,8.4,7.5,4.9,5.8,7.0,5.7,5.0,7.5,7.9,6.8,7,9,5.5,7.3,7.3,8.0,9.0,8.8,8.2,7.7
10121868,9.2,9.2,9.3,7.8,7.8,6.8,6.9,9.0,6.8,7.5,7.3,8.4,8.5,8,9,7.5,7.7,6.8,7.9,9.0,8.3,9.1,8.3
10121869,7.2,8.5,7.8,6.0,6.8,8.2,8.2,9.0,6.7,7.0,8.4,7.7,5.8,8,9,7.3,6.1,6.3,7.2,8.0,8.0,8.2,7.3
10121327,7.3,6.7,7.3,8.5,5.7,7.0,5.3,8.0,6.7,7.0,8.0,7.9,5.0,8,9,4.8,5.0,2.9,6.5,8.3,7.7,8.0,5.9
10121694,6.4,6.5,6.5,7.3,5.2,6.2,4.8,7.0,6.4,4.5,6.0,8.4,3.3,7,8,1.5,4.5,6.2,6.5,7.0,3.3,8.2,6.2
10121888,8.5,7.3,7.8,8.3,0.0,6.0,8.2,8.0,6.0,6.0,7.3,7.9,8.5,7,7,7.3,5.6,7.8,6.9,8.5,9.2,8.1,7.8
10121655,5.5,5.8,7.8,7.8,5.4,5.3,5.7,7.0,4.8,6.3,6.8,7.9,5.5,7,9,5.8,5.7,7.2,7.4,7.5,8.6,6.5,7.8
10121088,6.7,6.9,8.5,7.8,6.9,7.2,7.4,7.0,6.7,6.5,7.3,7.7,1.5,9,9,2.0,7.3,8.3,7.4,8.5,8.4,4.4,5.8
10121454,6.8,6.9,8.5,8.1,7.2,6.0,7.2,7.0,6.5,6.5,8.3,7.2,6.5,7,8,3.8,5.1,7.5,6.8,7.8,7.4,4.3,6.2
10121429,6.5,5.2,7.0,7.8,6.7,5.7,3.9,6.0,5.9,5.0,6.8,7.0,5.0,7,7,5.8,5.7,4.5,6.4,7.5,8.8,6.6,7.3
10121909,5.8,6.5,7.3,8.0,0.0,6.4,7.8,8.0,7.4,6.8,6.8,7.9,6.8,7,7,6.0,6.3,7.8,6.5,8.0,8.5,7.9,7.3
10121923,8.6,9.0,9.0,7.3,8.8,8.7,8.4,8.0,6.9,7.5,7.3,7.7,8.8,8,9,8.3,8.1,8.4,8.0,9.0,8.3,8.1,7.5
10121612,8.3,7.7,7.5,6.7,6.4,7.4,7.5,8.0,6.4,6.0,7.3,7.9,6.3,8,7,0.0,6.8,5.9,7.4,7.5,3.3,8.1,7.5
10121609,8.0,7.7,5.5,7.0,7.2,7.3,7.8,8.0,6.8,8.3,8.3,7.9,8.8,8,7,8.0,7.7,8.3,7.2,8.0,8.9,7.8,6.5
10121935,8.5,9.3,3.5,8.3,9.0,8.9,8.7,7.0,7.8,6.8,7.5,7.2,9.8,8,8,9.0,7.0,8.2,7.7,9.0,8.9,8.6,8.3
10121139,6.5,6.5,5.5,6.0,4.1,0.0,5.9,8.0,5.7,4.5,6.8,7.7,2.0,5,6,1.5,5.4,5.8,6.2,7.0,3.3,7.8,6.3
10121324,6.7,7.7,8.8,8.3,7.0,5.7,4.4,7.0,6.8,6.8,9.3,7.9,5.0,8,9,6.3,6.1,5.5,7.0,7.5,7.9,8.3,7.7
10121589,6.8,5.3,7.3,6.5,5.9,6.2,6.8,9.0,5.5,7.5,6.8,7.9,7.5,9,7,8.0,6.9,7.4,6.0,7.8,8.9,8.2,7.3
10121682,6.9,8.6,8.8,8.8,6.8,7.4,7.4,8.0,7.4,6.5,8.5,8.4,6.0,9,9,7.5,7.2,7.0,7.5,8.5,8.8,8.7,8.4
10121026,7.2,6.8,7.5,8.3,6.3,7.1,6.8,8.0,6.9,8.0,8.0,7.9,6.3,8,8,7.3,7.5,7.4,7.7,8.5,8.8,7.1,7.9
10121738,7.8,8.6,6.0,8.0,5.5,5.3,6.3,6.3,6.0,3.8,7.5,7.1,2.0,7,7,8.0,7.0,5.3,6.9,5.8,8.3,6.4,5.1
10121759,8.4,7.2,8.3,8.3,7.3,7.2,6.7,7.8,6.0,7.3,8.5,7.2,5.0,8,7,7.0,6.5,7.0,6.5,7.5,8.8,8.8,6.0
10121778,7.2,5.8,8.5,6.5,5.3,5.4,6.9,5.3,6.5,6.5,8.0,7.9,2.5,8,7,7.0,7.4,6.8,7.2,5.8,8.8,6.5,5.0
10121961,7.7,3.7,0.0,8.8,7.7,7.1,6.5,9.5,7.3,6.5,7.0,7.2,0.0,6,7,6.0,7.0,8.8,5.7,8.5,8.5,6.2,6.6
10121623,4.9,0.0,6.8,6.5,5.8,4.2,6.7,4.5,7.3,7.8,6.5,7.2,4.0,6,7,7.0,8.3,7.8,6.5,8.3,8.0,6.9,4.9
10121086,8.6,8.0,8.8,6.5,6.8,6.9,7.2,9.0,7.5,8.0,8.3,7.1,3.0,8,9,7.0,7.0,8.8,6.8,7.8,8.8,7.5,6.3
10121666,7.0,5.0,4.0,6.5,6.7,6.7,5.5,5.0,6.3,3.0,5.8,7.0,1.0,6,8,8.0,0.0,3.0,6.2,4.8,8.8,6.7,5.5
10121825,8.7,9.8,8.5,7.7,8.2,9.4,7.8,7.8,7.5,8.4,7.9,7.9,4.5,8,8,9.0,9.3,9.5,7.5,9.0,8.8,8.2,8.4
10121830,8.8,7.7,8.3,9.3,8.7,9.3,6.7,8.8,8.3,8.3,6.7,7.9,2.5,8,7,8.0,8.8,9.8,6.7,9.0,8.5,7.9,7.1
10121185,7.3,6.9,5.3,7.8,6.0,4.3,0.0,6.0,6.0,6.5,7.3,7.1,1.0,6,8,7.0,6.9,4.5,5.7,6.0,8.0,8.0,6.3
10121863,8.2,6.9,7.8,7.3,6.9,5.2,5.7,5.3,6.5,7.3,7.5,7.2,2.5,8,8,7.0,6.8,5.8,6.5,6.8,8.5,7.7,6.8
10121465,5.3,5.3,4.5,7.5,6.0,5.4,6.8,3.8,6.5,5.5,5.0,7.1,1.5,6,7,6.0,6.0,4.5,5.5,5.5,8.0,7.5,6.0
10120666,8.3,6.0,7.3,6.5,0.0,5.0,0.0,6.0,6.0,6.0,6.8,8.8,6.5,7,0,6.0,6.5,6.0,6.4,5.8,7.5,0.0,5.8
10121102,8.2,7.3,6.5,7.4,7.4,6.4,5.9,6.0,5.8,5.5,7.0,7.2,3.5,6,8,7.0,7.4,8.0,6.0,6.8,8.0,8.0,5.4
10121894,6.9,5.0,6.5,6.5,5.7,4.0,5.4,6.3,6.0,6.0,7.3,7.1,0.0,8,8,8.0,6.4,5.3,6.0,5.3,7.5,6.9,7.0
10121898,6.2,4.8,7.3,8.0,5.2,6.4,5.8,6.3,6.8,6.3,6.5,7.9,0.5,6,7,7.0,8.0,6.5,5.3,8.0,8.5,7.9,6.2
10121970,0.0,0.0,2.5,3.5,3.0,3.0,0.0,4.5,6.0,8.3,0.0,7.1,0.0,0,0,6.0,8.3,6.0,5.5,5.8,8.0,7.6,4.9
10121924,8.6,5.8,7.5,8.8,8.0,7.4,7.5,8.0,6.8,8.5,6.8,7.9,1.5,8,7,6.0,8.0,7.8,7.0,8.0,8.5,5.9,7.0
10121646,8.4,5.3,7.0,6.5,6.8,6.4,7.0,7.5,6.8,6.3,7.0,7.2,0.0,8,8,7.0,7.5,7.8,6.9,7.5,8.5,6.4,5.3
10121043,4.9,4.0,6.5,6.8,5.8,5.5,7.0,6.5,6.8,7.3,7.5,7.1,5.0,8,7,5.0,6.8,6.0,6.4,1.0,7.5,6.9,6.5
10121967,6.3,7.0,6.8,8.2,8.0,8.7,7.0,6.5,0.0,7.8,8.3,0.0,6.5,7,7,6.0,7.5,0.0,7.2,0.0,8.0,7.5,6.7
10121263,5.7,6.9,7.0,7.0,6.5,5.7,7.0,6.5,7.3,6.8,7.8,7.9,2.5,7,7,8.0,8.5,7.5,7.0,7.8,7.5,5.4,5.0
10121944,7.2,8.0,9.0,8.8,7.9,8.4,8.2,8.0,6.5,8.0,7.3,7.9,4.5,7,7,7.0,9.3,8.8,7.4,8.0,8.5,8.2,6.8
10121948,6.5,5.5,7.5,8.5,7.3,6.0,6.2,7.5,6.8,6.8,7.5,7.1,0.0,7,7,6.0,8.5,8.0,6.3,6.0,8.5,8.1,6.0
10121551,8.7,6.7,8.0,7.4,6.5,6.6,6.8,6.8,7.5,6.8,8.0,8.3,1.5,8,8,8.0,7.7,8.0,6.5,7.5,7.8,8.2,4.7
10121069,5.7,4.1,6.8,8.0,6.2,5.4,6.3,6.3,7.3,7.5,7.3,8.1,1.5,8,8,7.0,6.7,6.0,5.5,6.3,7.3,6.4,6.0
10121671,7.8,6.3,6.5,7.9,5.5,5.4,5.4,7.4,6.0,6.0,6.3,8.3,3.5,6,8,8.0,6.8,6.5,6.0,7.3,7.5,7.4,7.5
10121050,7.0,6.5,7.5,6.7,5.8,6.6,6.9,7.0,6.8,5.8,7.0,2.0,1.5,7,8,8.0,2.5,7.3,6.5,7.0,7.5,0.0,6.0
10121144,5.4,5.0,4.0,7.3,0.0,4.6,5.4,6.8,5.5,6.5,7.4,7.9,2.5,6,8,8.0,6.0,6.0,6.0,6.3,6.0,6.9,7.7
10121439,9.3,8.8,8.8,8.7,8.6,7.4,7.4,7.8,8.8,8.3,7.5,8.9,1.0,8,7,6.0,7.2,9.0,7.0,7.5,9.0,2.5,6.7
10121412,7.0,8.7,8.8,7.8,6.1,5.0,7.0,7.4,8.0,8.0,7.0,8.2,4.0,8,8,6.0,8.0,7.3,8.0,7.3,8.3,7.8,7.2
10121538,7.0,8.3,4.5,7.2,6.4,7.2,5.9,7.5,7.3,5.3,6.3,9.2,2.0,9,8,8.0,6.0,7.3,6.5,7.0,7.5,5.7,5.1
10121581,8.0,6.8,7.5,8.3,6.0,6.1,6.2,7.7,6.8,6.8,6.8,8.4,2.5,9,8,7.0,6.5,7.5,7.8,7.0,7.5,7.3,5.6
10121841,8.2,8.3,8.5,7.5,7.6,6.3,7.4,7.3,7.8,6.8,6.8,8.2,5.5,8,7,7.0,7.0,7.0,7.0,6.3,7.5,8.9,5.5
10121054,7.8,6.9,6.5,4.9,6.3,6.2,7.3,7.6,7.5,7.0,7.5,8.4,5.5,7,6,7.0,7.0,8.3,8.5,8.8,8.3,9.0,6.7
10121049,5.8,6.7,8.3,8.2,6.0,6.0,6.8,7.0,6.8,7.5,5.9,8.1,0.0,8,7,8.0,7.3,8.3,7.3,7.8,6.8,7.5,6.8
10121002,6.9,4.8,7.0,8.3,6.2,5.5,7.3,6.8,7.0,7.3,7.8,8.6,3.0,7,7,8.0,8.0,8.8,8.5,7.0,7.8,6.9,6.3
10121375,6.5,4.3,5.0,7.4,5.5,5.2,6.7,8.3,7.5,6.5,6.2,8.1,1.5,6,8,6.0,3.0,7.3,7.8,7.5,8.5,6.4,4.9
10121659,7.2,7.7,8.0,8.3,6.2,5.3,6.2,6.8,6.8,6.8,6.8,8.2,2.0,9,7,7.0,7.5,7.5,7.0,7.5,7.3,7.2,4.6
10121503,7.7,5.6,7.5,7.0,6.2,6.2,6.5,7.8,7.5,8.0,7.9,8.0,2.0,7,7,7.0,8.3,7.5,6.5,7.5,7.3,5.0,5.2
10121096,7.4,7.2,5.0,6.2,3.7,5.2,6.3,7.2,5.5,6.8,6.9,8.2,0.0,9,9,8.0,8.3,5.0,5.5,6.5,6.8,6.7,6.9
10121499,7.6,8.4,8.3,8.2,6.7,6.2,7.2,7.9,8.0,7.5,6.3,8.3,3.5,8,8,6.0,8.8,6.8,8.0,7.5,8.5,8.0,7.1
10121929,8.4,7.9,8.3,7.3,5.7,6.9,6.2,7.8,7.0,6.3,6.4,8.0,4.0,7,7,6.0,6.7,6.5,7.8,6.8,7.8,7.5,7.6
10121940,8.1,7.3,6.0,7.0,7.3,6.5,6.5,5.8,6.0,6.0,7.3,8.1,5.5,8,9,10.0,6.3,5.5,5.0,7.0,7.8,8.4,7.4
11021108,6.8,7.5,5.8,8.8,7.1,5.9,6.4,8.0,7.5,7.5,6.0,8.3,1.0,9,8,8.0,8.5,8.0,6.8,7.8,8.3,5.2,7.9
10121163,7.5,6.0,7.0,7.5,5.3,5.2,6.4,7.0,7.3,3.3,7.5,7.9,5.0,7,8,8.0,3.3,8.0,7.8,7.8,8.5,6.3,4.6
10121949,5.8,5.1,6.8,7.7,5.0,6.4,5.4,7.1,6.3,5.8,4.9,8.1,0.0,7,7,7.0,7.2,7.3,6.5,7.3,7.0,5.2,5.5
10121136,6.5,6.7,4.5,7.4,4.3,6.5,6.0,6.9,4.5,6.0,5.0,8.1,1.0,5,7,7.0,7.7,6.0,5.5,7.0,7.5,6.7,6.5
10121133,7.2,6.7,7.0,9.0,7.1,7.7,7.2,6.8,7.3,8.0,6.9,8.1,4.5,8,9,7.0,7.5,7.8,7.0,8.0,7.8,7.5,6.9
10121356,7.9,6.1,6.5,7.5,6.2,6.8,5.9,7.3,6.8,5.0,5.5,6.5,2.0,7,6,7.0,6.2,8.0,6.5,6.8,6.0,5.8,4.8
10121171,5.3,4.9,5.0,7.3,0.0,7.0,5.8,7.3,7.0,7.3,6.8,9.0,3.5,8,8,9.0,6.2,7.8,7.0,8.0,7.8,7.5,7.3
10121355,6.5,6.9,6.3,6.5,5.9,5.9,6.2,8.0,7.3,7.0,6.3,6.8,2.5,7,5,8.0,6.9,7.8,7.0,7.8,6.5,7.0,5.4
10121397,8.5,7.4,8.8,6.9,5.9,6.9,6.7,5.8,7.3,6.9,5.8,7.1,0.0,8,7,9.0,7.7,7.5,6.3,6.8,7.5,6.8,7.5
10121321,8.9,7.3,7.8,7.2,5.7,6.0,6.5,9.0,7.8,6.7,6.7,7.7,2.5,6,6,9.0,8.2,7.5,8.8,7.8,7.8,8.1,7.5
10121764,5.0,4.9,5.0,6.3,7.4,7.5,5.7,7.0,6.8,8.5,5.2,8.6,7.5,7,8,7.0,6.7,6.8,6.5,6.8,6.0,7.6,6.4
10121208,8.3,7.4,8.3,8.9,7.4,9.0,6.3,7.5,8.5,8.5,7.9,9.0,2.5,8,7,8.0,8.8,7.0,8.0,8.0,8.8,7.7,7.7
12221052,6.0,5.0,6.3,4.5,7.7,6.1,6.0,5.5,7.0,5.0,5.9,7.7,3.5,6,8,8.0,6.9,7.0,5.3,7.0,6.8,6.9,6.1
10121512,7.3,5.2,6.3,7.8,6.3,7.8,6.3,5.8,6.5,5.0,6.5,8.9,1.5,8,7,7.0,6.8,7.3,6.0,7.8,6.5,6.7,7.0
10121697,4.9,5.3,3.8,7.8,5.7,4.5,5.4,6.8,6.0,6.8,6.0,8.5,0.0,7,7,6.0,5.5,7.8,7.5,7.5,8.3,7.0,6.9
10121598,8.0,6.7,7.5,6.5,6.3,8.0,6.3,7.3,7.5,7.0,6.5,8.8,2.0,8,8,8.0,6.8,8.0,7.3,6.5,8.3,8.2,7.6
10121306,7.5,4.7,5.8,5.5,0.0,6.8,5.9,6.5,6.5,5.8,6.5,8.8,3.0,6,7,7.0,7.8,8.0,7.3,7.3,7.3,6.5,6.8
10121186,7.0,4.8,7.8,7.8,0.0,8.4,6.5,9.0,6.0,5.0,7.8,9.0,1.5,9,8,8.0,2.5,6.8,8.8,7.8,7.0,6.4,7.5
10121815,8.8,8.6,7.5,7.8,7.3,8.0,7.7,7.0,6.8,8.0,7.2,9.2,2.0,7,7,7.0,7.8,7.0,6.5,7.3,7.8,7.6,8.6
10121204,8.8,5.0,5.8,7.5,0.0,8.1,6.3,6.8,6.8,9.8,6.2,8.8,2.5,8,8,6.0,9.5,8.0,8.0,7.5,7.5,7.4,7.7
10121024,7.5,0.0,4.3,7.3,5.8,4.5,0.0,6.3,5.5,2.0,4.8,0.9,0.0,5,0,7.0,6.5,6.0,5.5,5.5,5.0,2.8,6.4
10121696,6.8,5.7,6.8,7.4,6.2,6.1,6.5,5.3,6.5,6.3,7.3,8.6,2.0,6,7,7.0,7.7,5.8,5.0,6.3,6.5,5.7,6.9
10121431,8.5,5.1,9.0,8.5,7.9,7.4,6.3,7.3,6.5,9.3,8.7,7.9,4.5,10,8,8.0,9.4,7.0,7.8,7.8,8.3,8.9,6.6
10621735,6.3,4.5,5.5,6.9,5.3,7.9,5.3,0.0,7.0,5.0,6.8,2.2,1.5,6,7,0.0,7.2,5.8,2.0,6.5,6.3,7.0,5.3
10121968,8.5,7.9,8.8,8.5,8.8,8.6,6.8,8.5,7.0,8.8,7.2,9.3,5.0,7,8,7.0,8.9,8.3,8.3,8.3,8.5,8.3,7.8
10121533,4.3,4.0,5.8,6.4,0.0,5.8,6.0,6.0,7.3,6.9,6.7,8.3,3.0,6,7,8.0,8.5,7.8,6.8,6.5,6.5,6.4,6.3
10121275,6.4,6.7,6.8,6.9,0.0,6.3,5.3,0.0,7.0,5.3,5.3,7.4,2.5,6,0,0.0,7.3,5.8,5.3,7.3,6.3,6.6,6.1
10121194,8.0,5.3,8.3,7.5,0.0,6.5,5.8,0.0,6.5,8.4,6.8,2.6,5.0,7,7,7.0,7.7,5.5,6.5,7.3,8.0,7.7,6.6
10121890,8.0,6.7,8.0,7.0,7.3,7.5,6.8,6.5,7.0,7.3,7.3,8.2,1.5,8,7,9.0,8.4,6.0,6.3,7.0,7.3,6.8,7.2
10121339,9.0,5.7,5.3,7.8,0.0,5.6,5.9,8.3,7.0,8.2,7.0,8.2,5.0,0,8,7.0,7.3,8.3,8.8,6.8,7.3,6.7,7.7
10121461,7.5,5.3,6.0,8.0,8.2,7.7,6.2,7.8,6.5,9.8,5.5,8.6,2.0,8,8,8.0,8.4,7.8,8.3,7.8,8.8,6.5,6.9
10121905,6.3,6.9,6.3,6.5,7.3,6.8,7.5,6.3,7.3,6.4,6.5,9.1,2.0,8,7,10.0,6.3,7.3,6.3,7.5,6.3,7.7,7.3
