student_id,dai_so_tuyen_tinh,giai_tich,kien_truc_may_tinh,lap_trinh_python_co_ban,cau_truc_du_lieu_va_giai_thuat,co_so_ky_thuat_lap_trinh,co_so_du_lieu,lap_trinh_huong_doi_tuong,lap_trinh_ung_dung_windows_form,phap_luat_dai_cuong,ky_nang_mem,tieng_anh_tang_cuong,giao_duc_the_chat_1,giao_duc_the_chat_2,giao_duc_the_chat_3,chu_nghia_xa_hoi_khoa_hoc,cong_nghe_phan_mem,do_an_1,lap_trinh_python_nang_cao,tieng_anh_1,toan_roi_rac
10121865,7.7,8.2,8.5,8.5,8.2,8.2,9.1,8.9,9.5,8.8,8.4,5,9,7,6,7.8,6.8,9,8.5,7.5,7.9
10121867,9.7,8.8,8.5,9,8.2,7.8,8.8,9,8,8.5,8.7,7,9,7,8,8.3,6.8,8.9,9,7.1,8.1
12421041,8.8,9.7,9.3,9,8.9,8.8,9.3,9.3,9.8,9.5,8.5,5.5,9,8,8,7.7,9.8,9.7,8.8,8.1,8.6
12521033,7.8,9,9,8.8,7.7,7.6,7.9,8.9,8.5,9.5,8.5,6.5,10,8,7,4.8,8.8,7.4,8.8,7,8.6
12421036,6.9,9.2,8.5,8.3,7.7,8.2,8.7,8.5,8.8,8.8,8.5,6,9,10,9,6.8,9.3,9.7,9.5,8.3,9.1
10121906,6.8,7.8,7.3,7.8,7.5,7.7,7.2,7,7,7,8.7,5,8,6,6,6.8,6.3,7.5,7.8,6.1,8.4
10121927,9.3,8.8,8.3,9,7.9,7.2,8.3,8,8.3,9.5,8.6,5.5,8,6,7,7.5,7.3,8.5,8.5,7.5,8.1
10121931,9,9.7,9.5,9,8.5,6.9,9.1,8.3,8.5,8.5,8.5,4,9,7,7,7.3,7.8,9.4,9,8,8.7
10121969,8.5,9.6,9,8.9,8.4,9,8.4,9.2,8.8,9,8.3,6.5,8,9,7,7.3,8,9.2,8.5,7.6,8.7
10121945,8.8,8.8,8.3,9,7.8,6,8.3,7.5,8.3,8.3,8.9,6.5,6,5,7,6.3,8,9,8.5,6.6,7.9
12521156,8.4,9,8.3,8.8,7.7,5.8,8.3,7.8,7.5,8.3,8.7,5.5,7,6,6,4,7.3,8,7.3,6.7,7.6
12421025,8,8,7.5,8.8,6,7.4,6.4,7.8,7,9,8,2,7,8,9,6.7,7.5,7.7,9.3,8,7.3
12521096,8.7,9,8.5,9,8.9,9.1,7,8.5,7,8.5,8,4,9,8,9,6.5,8,8.9,9,8.8,7.3
12421033,9.4,7.4,8,9,6.4,7.2,8.1,7.2,7.8,9,7.8,6,7,8,7,7,7,8.1,8,0,7.2
10121726,7,6.8,7.8,8.2,6.9,7.1,6.3,6.2,2.5,9.3,7.8,0,9,5,8,6.4,5.5,6.9,7.5,8.5,5.5
12421028,6.7,6.2,5.8,8.2,6.4,6.4,6.3,7.3,2.5,6,7.8,2,9,6,7,6.3,3.3,6.8,8,7.7,5.5
12421029,8,7.7,8.5,8.3,8.8,8.2,7.8,8.4,8,8,7.8,5.5,9,8,9,6,7.8,7.8,8.8,8.5,6
10121689,4,6.8,5,6,6.2,6.4,5,6.9,2.5,7.5,7.5,3,6,7,8,5.9,4,3.7,6.5,7.9,5
10121773,8.3,7.3,7.3,9.3,8.7,8.2,6.4,7.8,6.5,8.5,7.8,2.5,7,8,7,6.4,7.8,7.9,8.3,7.9,7.8
12421007,7.4,6.9,8,9.3,7.8,7.6,6.3,7,5.8,8,7.8,0,8,8,8,7.2,8.8,7.5,8.5,6.8,5.8
12421014,8.5,8.3,8.3,8.8,7.8,8.5,8.3,7.9,6.5,9,8.3,1.5,8,9,9,7.2,8.8,7.2,8.8,6.1,9
12421035,7.1,6.8,7.8,7.3,7.4,8,6.6,7.4,5.8,8,8,4,9,9,8,5,6.8,7.4,8,8.4,5.8
10121826,4.7,6.4,6.8,7.8,7.9,7.5,5.9,7.5,5,8,8,0,8,8,7,6.3,8,8.3,7.5,7.9,6.5
10121831,7.8,7.8,7.3,7.5,6,6.2,5.7,6,4.5,7.3,8,1.5,7,8,10,6.8,6,8.2,7.5,8.1,5.5
10621280,5,5.6,4,7.8,6.8,6.6,6,5,5.5,8,8.3,0,7,8,8,6.9,7.3,7.7,7.8,8,5.8
10121006,7.8,6.4,7.8,7.8,7.2,5.7,5.6,5.7,6.3,8.5,8.3,0,8,8,6,7.3,8,7.4,7.8,7.7,6.3
10121880,5.6,6.5,6.5,7.9,6.7,7.1,6.3,6.8,6.3,8.3,7,1.5,9,8,8,6.5,8,7.8,7.5,7.8,6.3
10121583,8.7,9.7,8.3,8.9,7.5,7.4,7.3,7.4,7.8,8.5,8.2,3,9,9,8,7.5,6.8,7.3,7.3,8.6,5.3
10121690,3.9,6.4,6,7.2,6.4,6.7,5.3,5.2,2.5,7.5,7.3,5,8,8,9,5.8,7,6.4,5.5,8.2,5.9
10121624,8.3,7.4,7.8,8.5,7,7.4,5.9,7.3,2.5,9,8.3,3.5,9,7,8,7.2,8.3,8,8.3,8.3,7.8
12421002,7.8,7.6,8,8.2,8,7.4,7.1,8,8.3,8,8.3,6.5,9,8,7,6.7,8.8,8.5,9.5,9.1,7.5
12422001,8.9,9.7,8,8.8,7.4,9,8.4,8.5,9.3,7.7,9,7.5,9,9,9,7.3,9.3,9.5,9.3,8.7,8.6
10122063,7.8,9.3,8,8.2,8.1,8.8,8.2,8.3,8.3,7.5,8.4,8,10,7,7,6.6,8.5,7.2,6.3,8.1,7
10122069,9.1,9.8,9.3,8.7,9,8.8,8.2,9,8.8,7.2,9,8.5,7,7,7,7.7,9.3,9.5,9,9.3,9.5
10122071,7.2,9.5,7.5,7.8,7,6.5,6.5,6.7,7.5,5.5,8.4,8,9,6,9,6.3,7.8,5.3,7.5,7.6,5.5
12422004,7.5,9,8.3,7.9,8.8,8.5,8.5,9.2,8,8.3,9,8.5,9,9,9,7.3,9.3,9.3,9.3,8.6,8.2
10122125,7.3,8.8,7.8,7.3,6.9,6,6.6,8.6,7.5,6.7,9,7,6,6,6,6.6,8,7.7,6.5,7.7,6.5
12422006,7.9,9.7,8.3,8.8,8.1,8,7.1,7.7,8,8,9,7,9,8,8,7.2,9,8.2,9,8.2,8.4
12422008,5.9,6,4,7.3,6,6,5,7,6.3,5.5,9,8.5,4,7,8,6.5,8.5,0,7.5,7.7,3.8
10122151,5,6.9,7.3,8.2,8.7,4,7.5,7.7,8.4,7.2,8.5,7,7,7,9,3,8,6.8,7.3,9.3,5.5
12421038,8.7,9.8,9.3,8.7,8.5,8.6,7.8,7.7,8.5,9.3,8.2,8,8,0,7,6.3,7.3,8.7,8,8.7,7.5
10122167,7.7,7.5,7.8,7.3,6.7,6.8,6.5,8,7.8,6.3,8.8,8,8,7,8,7.7,7.8,8,8.3,7.7,7.3
10122185,7.9,7.3,8,7.9,8.9,6.3,6.9,8.4,6.8,6.8,8.8,7.5,5,6,8,6.8,7.8,8.8,8.3,8.3,7.9
12422011,8.6,7.8,7.8,7,6.6,7.5,7,7.7,8.3,5.8,8.4,8,8,7,8,6.2,7.3,3.5,5.5,8.2,6.5
10122197,7,8.9,7.8,7.8,7.6,7.8,7.5,7.2,6.8,7.4,8.4,7,9,7,6,7.1,8.8,8,8,8.2,6.6
12222193,6.6,7.5,7.5,7.5,8.7,5.8,7,8.3,5.5,7.2,9,8.5,6,7,6,6.8,7.5,6.8,7.3,7.9,6.8
10122212,6.8,8.6,7,7.5,6.4,6.5,6.7,7.3,7.8,6,8.5,8,7,8,7,6.1,7,7.7,6.3,7.8,5.3
12422014,7.2,8,7.8,7.5,7.9,6.8,7.6,8.7,6,6.7,9,7,9,9,9,7.1,8.8,7.7,8,7.9,7.8
12522079,6.5,9,7,8.2,8,8.5,7.7,8.7,8.8,7,8.8,7.5,7,7,7,7.7,8.5,9,7.8,9.6,8.3
10122384,8.8,9.3,8.5,7.4,7.3,7.5,7.8,7.3,8.3,6.4,8.8,7.5,5,6,9,6.5,8.5,7.7,7.8,6.9,7.5
10122404,8.3,9.4,8.8,6,6.8,6.7,6.7,7.2,4,6.4,8.7,2,9,6,6,5.8,6,2.8,6,6.8,5.8
10122408,7.9,8.5,7.3,7.5,6.8,6,7.1,7.9,7.3,6.5,8.3,8,5,6,5,5.9,7.5,7.2,6,6.9,6
12422002,8.6,8.8,8,7,6.4,7.3,7.2,7.7,8.6,7,8.6,8,8,8,8,7.4,5.8,7.4,6.5,8,4.8
12422003,5.8,8,6.8,7.7,6.7,7.5,6.9,7.6,7.3,5.8,8.3,8.5,6,7,7,7.8,7.5,8.9,6,7.7,7.5
10122076,8.3,8.9,7.5,6.9,5.8,7.3,6.3,6.3,8.5,6.5,7.9,8,5,5,7,6.4,6,7.5,6.5,7.9,5.7
12522018,8,10,9.5,7.3,8.4,9,8.7,8.6,9,6.7,9,9,7,8,9,8.2,9,9.5,7.5,8.4,8.2
11022298,7.3,9.8,8.8,7.7,8.4,8.5,8.3,7.5,7,7.4,8.8,8,7,9,9,9.3,8.5,7.7,8.5,8.6,8.8
10122119,6.9,9.7,8.3,8.5,8.8,9.8,8.3,8.2,9,6.4,9,8,5,9,7,7.3,8.5,9.5,9.5,8.5,8.2
12422005,7,9.2,6.3,7.7,6.7,7.5,7.5,6.7,8.8,5.9,8.6,8,6,7,8,6.7,5.8,8.6,6.5,7.9,6.8
12522032,6.8,9.5,8,7.1,7.2,7.5,7,7.5,7,7.3,8.9,8,6,8,8,7.6,7.8,8.9,6,7.8,6.4
10122187,6.5,9,7.5,8.6,7.1,8.8,7.8,7.5,7.8,6.7,8.7,7.5,9,6,7,7.3,8.3,8.7,8.8,8.4,6.5
12422009,6.3,9.3,7.5,8.2,7.4,8.5,7.4,6.4,8.5,8.2,8.5,8,6,6,6,6.7,6.5,8.7,6.8,8.2,7.4
10122199,8.1,7.7,6.3,7.2,5,7.3,7.1,6.8,8.3,6.5,8.5,9,9,6,8,7.3,6.5,8.4,5.5,8.1,5.5
12422010,8.3,10,9.3,8,8.6,9,8.6,7.8,8.5,7.3,9,7.5,8,8,8,7.6,8.3,8.2,8.8,8.5,8.3
10122211,7.3,7.5,6,6.8,7.2,7.8,7.2,7.5,7.5,7.2,8.6,8.5,6,6,8,7.5,7,7.9,5.5,7.8,5.8
10122222,9,9.8,8.8,7.8,8.2,8.5,8.4,7.9,7.5,7.6,8.5,7,7,8,9,8.5,8.3,9.5,9,8.5,8.8
12522060,8.7,9.8,9.3,8.2,8.8,9.3,8.7,9.2,9,7.3,9,8.5,6,7,7,7.3,8.8,9.1,8.8,7.2,8
12422013,6.8,6.8,7.5,7.4,7.3,8.5,7.7,7.9,7,7,8.5,8.5,9,7,8,7.2,7,7.9,7.8,8.4,6.8
12522071,8.8,9.2,7.3,7.7,7.4,8.8,7.2,7.6,6.8,6.8,8.5,6.5,7,7,8,7,6.5,7.5,7.3,7.8,6.8
10122291,9.2,9.7,9.5,7.5,8.9,8.8,8.3,8.7,7.8,8.7,9,7.5,8,7,7,9.9,9,9.1,8.3,8.6,9.8
10122319,6.9,9.4,7.5,7.1,6.2,7.8,6.7,6,6.5,6.5,8.3,8,7,7,8,7.2,6.3,7.5,7.3,8.5,7.3
12422015,7.9,7,8.5,6.9,8.1,8.3,8,7.6,6.5,5.8,9,8.5,7,8,8,5,8,7.3,7,8.1,7.8
10122381,8.6,9.9,8.5,8.9,9.3,9.9,9,9.7,9,7.4,8.7,6.5,7,6,8,7.6,9,9.6,9.3,7.9,10
10122399,9.3,9.9,9.5,8.7,8.8,9.3,9.1,9.6,7.8,7.2,9,8,9,5,9,8.8,9.3,9.1,9.8,8.1,9.3
12422016,6.3,8.8,6.8,7.7,6.6,8.5,8.2,7.8,6.5,7.3,8.9,7,7,7,7,6.8,6.5,7.3,8,7.9,6.3
10123304,8,8.1,1,7.8,6.5,7.7,6.2,5.5,6.5,7,8.2,5.5,7,9,7,5.7,1.8,1.3,0,1.5,3.5
12423032,5,7.9,8,7.3,6.3,7.8,6,6.6,3.8,7.5,8.5,7.5,6,7,7,5.7,0,6.3,6.5,7.2,7.2
12423060,5.4,5.4,8,7.3,6.6,7.6,5,6.1,6,4.8,8.1,6.5,6,8,6,6.6,6.8,6.7,6.5,5,4.8
12423025,5.7,4.2,6.3,5.3,6.1,6.8,6.4,7.8,6.5,6.8,8.4,7.5,7,8,8,6.8,1.5,6.5,7.2,7,6.2
12423029,4.8,2.9,5.5,5.6,5.8,6.6,5.5,6.6,7,6.5,8.2,6.5,6,5,7,6.7,5.3,6.7,0,6.1,7.7
10123227,5.8,6.2,7.3,7.8,7.4,7.4,6.8,8.3,6.3,7,8.4,7,6,5,6,5.4,4.2,1.3,4.5,6.2,3.2
12423022,9.4,8.8,5.8,6.6,6.3,3.6,5.4,8.2,7.3,7,8.3,6.5,7,7,5,5.7,0.8,1.3,6.9,6.5,6.6
12423035,7.6,7.4,7.8,9.6,8.4,9.6,6.8,7.4,8.5,6,8.3,4.5,6,0,7,6.9,0.8,6.3,0,4.9,7.4
12423062,6.7,7.3,8.5,7,5.4,7.2,6.9,7.8,4.8,6.5,8.2,6.5,6,7,6,7.4,7.2,6.5,7.2,6.1,7.2
12423063,7.5,7.4,7.3,7.3,7.2,7.2,6,6.9,8.3,6.3,8.2,6.5,5,8,6,6,8.3,7.9,9.3,5.6,7.2
12423010,9,6.8,6.5,7.4,6.4,7.5,6,7.9,6,6,8.4,7.5,8,8,7,6.9,5.9,6.4,4.5,7.4,7.5
10123307,9.4,7.5,0,6.4,6.5,7,6.8,5.9,7.5,7,8.4,7,10,7,8,7,6.8,7,7.8,7.3,6.2
12423049,6.7,2.7,8.5,8,7,8.3,6.7,8.1,8.5,7.3,8.6,6.5,7,9,6,6.8,6.8,8.2,8.8,6.7,6.8
12423057,9,7.5,8.3,6.8,6.1,8.4,6.5,6.4,7.5,6.3,8.4,8,8,9,8,6.7,8.3,7.8,6.5,7.9,6.9
12423047,7.7,6.7,7.5,7.6,7.1,7.5,7.5,6.8,6.8,7.8,8,6.5,7,9,8,6.8,8.8,7.9,8.2,7.4,7.4
12423027,8.4,5,7.8,7.4,6,8.2,5.5,7.4,7,5.8,8.6,7,8,7,8,6.7,7.3,5,7.9,7.2,7.1
12423043,8.9,8.3,7.8,8.2,6.8,7.8,7,7.2,6.8,6.8,8,7.5,7,6,7,6.7,6.4,7.4,6.9,6,7
10123329,8.3,9,6.8,7.4,6.7,7.4,7.8,6.3,6.8,7.5,8.3,7,7,6,8,7.1,5.5,5.8,6.8,6.4,5.9
12423004,7.4,5,7,6,8.3,7,6.9,7.3,7,4,8.1,5,6,8,8,3,7,7.7,8,6.7,7.5
12423005,9.2,9.3,9.8,8,8.9,9.3,7.7,8.5,8.5,7.5,8.2,6.5,8,8,8,7.8,9.4,8.5,9.3,6.8,8
12423026,6.7,5.9,8,6.7,6.9,7.9,6.3,6.2,6.8,7.5,8,6.5,6,7,8,6.9,6.4,6.8,7.8,7.2,6.5
12423002,8.2,7.7,7.5,6.7,6.8,6.8,6.7,7.2,6.3,7.8,8,5.5,5,5,8,6.3,8.3,7.4,8.8,7.6,6.6
10123015,7,7.2,6,5.4,7,6.6,7.3,7.4,6.5,7,9.4,7.5,6,6,8,6.4,7.8,7.3,8,7.2,7
12423031,6,5,8.8,7.2,7,6.5,6,5,4,6.3,7,7,6,6,7,7.2,3.2,6.8,6.9,5.8,7.4
12523002,8.2,8.2,7,6.9,8.4,8.3,6.9,7.5,9,6.5,9.4,7,8,7,8,6.8,8.2,8.2,8.8,7.2,6.6
12423014,7.2,7.3,8.5,7.9,7,8.2,7.7,7.9,6.5,7.3,8.5,7,6,6,7,6.2,6.3,6.5,7.7,6.5,7.5
10123096,8.9,7.9,8.3,8.2,7.1,8.5,5.8,6.9,7.5,6.3,8.5,7,7,8,7,7,6.7,6,8.3,7.6,6.6
12423016,8.4,8.1,8.5,8.1,8,7.6,7.8,7.5,7,7,8.6,7,8,9,9,7.2,8.2,7.7,7.4,7,7.1
12423017,7.9,9.4,8.8,8.4,7.7,8.7,7.5,7.9,8.3,6.3,8.2,7,7,6,6,8,8.3,9,8.4,6.9,7.2
12423009,9.4,8.2,8.8,8.7,8.9,9.7,7.7,7.8,9,7.3,8.8,7.5,8,6,8,7.4,8.9,8.3,8.8,8,7.9
12423073,8.8,9.2,9.3,7.1,8,8.1,7.7,7.5,8,7.8,8.4,7.5,7,7,7,7.7,7.9,8.2,9,6.7,8.9
12423011,8.8,9.2,9.3,9.2,8.9,9.8,9.3,8.9,9,6.8,8.7,6.5,9,9,9,7.4,9.4,9.3,9.3,8.1,7
