Môn học,Đại số tuyến tính,Giải tích,Giải tích số,Kiến trúc máy tính,Lập trình Python cơ bản (2+1*),Cấu trúc dữ liệu và giải thuật (2+1*),Cơ sở kỹ thuật lập trình (2+1*),Cơ sở dữ liệu,Lập trình hướng đối tượng (2+1*),Lập trình ứng dụng Windows Form (2+1*),Pháp luật đại cương,Kỹ năng mềm,Tiếng Anh tăng cường,Giáo dục thể chất 1,Giáo dục thể chất 2,Giáo dục thể chất 3
12521115,8.7,7.8,6.3,,,6.8,7.3,7.5,5.0,6.2,7.3,7.0,6.4,7,8.0,6.7
10121760,6.7,7.2,7.9,,,6.8,8.0,6.8,5.0,7.4,7.0,6.0,7.2,7,8.1,7.0
12521117,8.3,0.0,6.9,7.1,7.5,7.9,7.5,4.0,8.0,6.8,7.0,7.0,6.7,8,7.0,6.5
10121305,6.4,5.0,6.5,,,6.5,8.0,7.3,8.0,6.3,6.8,6.0,7.0,8,6.3,8.0
12521119,4.9,4.4,6.3,,,8.2,6.5,4.5,6.0,5.7,4.5,6.0,6.9,7,7.0,6.7
10121768,7.2,6.5,7.8,,,7.3,5.8,8.2,6.0,6.5,8.3,7.0,6.9,7,6.8,6.2
12521053,7.7,5.0,6.5,,,6.8,7.5,4.4,7.0,6.5,6.0,8.0,5.9,6,6.8,6.5
10121974,6.8,6.9,4.9,,,8.0,5.8,7.0,6.0,7.0,6.3,8.0,7.5,6,5.5,6.8
10121806,8.7,7.4,7.5,,,8.9,8.8,8.2,7.0,7.2,9.0,8.0,8.2,8,8.0,7.2
10121277,6.9,5.2,7.0,,,6.9,7.0,7.7,7.0,7.0,9.3,9.0,8.3,8,7.3,7.2
10121811,8.8,7.9,6.8,,,8.5,7.5,8.3,7.0,6.9,9.0,6.0,6.4,8,8.4,7.5
10121818,7.5,4.8,6.5,,,7.0,5.5,6.7,7.0,6.7,8.0,6.0,8.0,7,6.7,7.2
11220025,6.6,6.8,0.0,6.7,7.0,5.0,7.3,7.0,0.0,0.0,7.0,9.0,6.0,8,6.0,5.8
12421022,7.8,5.0,6.3,,,8.2,7.3,6.5,7.0,7.3,8.3,0.0,7.7,9,8.1,6.9
10121280,8.0,6.0,6.5,,,7.3,7.8,6.5,6.0,6.3,6.5,9.0,6.5,9,6.6,7.7
10121301,8.3,6.7,6.5,,,6.8,7.0,6.7,7.0,6.8,6.5,7.0,6.8,9,7.5,7.7
10121885,8.9,7.8,7.3,,,8.8,8.0,8.3,6.0,7.9,9.0,8.0,7.8,9,8.4,8.0
10121331,7.7,8.3,4.5,,,8.8,7.3,7.7,5.0,6.0,6.5,5.0,5.4,6,9.0,6.0
12521042,6.7,6.7,6.8,,,7.4,8.5,7.5,6.0,5.8,8.3,8.0,6.7,8,8.1,6.3
10121040,9.4,8.7,6.8,,,8.8,9.0,8.8,7.0,7.8,8.3,7.0,7.4,8,9.0,8.7
10121268,7.0,4.4,7.0,,,7.7,7.5,6.2,8.0,7.3,6.5,8.0,5.7,7,7.2,7.4
10121287,6.7,4.7,6.5,,,6.0,6.8,6.4,9.0,6.5,6.8,6.0,7.4,8,7.3,7.0
12221203,7.0,6.2,6.5,,,6.0,6.3,6.0,6.0,6.3,8.0,6.0,7.4,7,7.6,7.4
12521036,8.8,7.2,7.5,,,6.3,8.0,7.7,8.0,7.8,7.8,7.0,8.0,9,8.7,7.2
12521151,8.7,8.3,7.3,,,7.7,6.3,6.8,8.0,7.8,9.0,5.0,7.8,8,8.6,8.3
10121395,7.4,6.5,6.8,,,8.2,8.3,6.7,6.0,6.8,7.0,0.0,7.3,8,8.4,7.5
12521167,8.8,0.0,0.0,7.0,7.0,6.5,6.5,5.9,5.0,5.3,6.5,0.0,7.0,6,7.6,6.4
10121736,8.0,4.2,7.3,6.3,7.2,8.3,7.6,6.3,7.5,6.0,5.9,8.5,2.5,5,6.0,5.0
10121971,7.3,7.3,8.2,8.8,8.3,7.9,8.7,0.0,7.9,8.0,7.5,8.3,5.0,9,9.0,6.0
10121743,8.3,9.3,7.7,8.5,7.5,8.2,7.6,8.0,8.3,7.8,7.3,6.4,4.5,6,7.0,7.0
12521012,7.8,6.5,2.5,7.8,7.5,7.2,7.7,6.4,6.3,6.0,6.0,7.3,3.0,6,7.0,5.0
10121782,8.8,9.2,7.9,9.8,7.0,8.8,8.7,8.0,8.0,9.0,6.8,7.1,0.0,7,6.0,7.0
12521166,9.1,6.3,6.3,8.8,7.0,7.7,7.8,6.7,7.8,8.0,6.3,8.2,5.0,7,8.0,9.0
10121548,8.5,6.9,3.0,8.0,7.0,7.8,7.8,6.0,7.5,8.8,6.3,8.2,1.5,7,5.0,6.0
10121965,8.8,8.8,8.3,8.3,7.5,8.3,8.5,8.0,8.7,9.5,6.4,7.4,3.0,8,7.0,6.0
10121126,7.9,7.4,6.8,8.0,6.4,7.1,7.2,0.0,8.2,9.3,7.3,8.8,4.0,8,8.0,5.0
12521125,8.8,7.7,8.5,8.0,5.8,7.4,6.6,7.2,7.0,7.5,7.8,9.4,2.5,7,6.0,5.0
10121853,6.7,6.2,6.9,6.8,7.5,5.9,7.3,7.3,7.7,6.5,6.0,7.8,3.0,8,9.0,6.0
12221514,7.5,8.0,8.3,7.8,8.0,7.9,8.3,8.3,8.5,8.3,6.8,9.3,3.5,8,8.0,9.0
10121856,8.3,9.2,8.7,8.3,8.5,7.9,6.8,7.5,8.0,7.5,7.0,8.7,2.0,8,9.0,8.0
10621740,8.4,8.4,7.7,8.5,7.5,7.4,7.1,7.4,7.8,8.5,7.2,6.7,6.0,8,7.0,7.0
10121578,7.6,6.5,6.2,5.8,6.5,6.0,6.3,4.5,6.7,5.5,6.3,6.5,1.5,8,7.0,7.0
10121343,9.0,6.9,6.1,6.5,6.3,6.5,6.9,5.8,7.7,6.0,7.5,7.6,3.5,7,6.0,7.0
12521168,6.9,8.9,8.5,8.3,6.5,9.0,8.6,7.5,8.9,9.0,6.5,7.9,6.5,7,9.0,8.0
10121346,8.4,7.0,6.9,6.0,7.5,8.0,7.6,7.8,6.9,8.5,6.8,6.4,4.0,7,5.0,6.0
12521088,7.0,6.2,5.1,5.3,6.3,7.3,7.7,6.2,6.4,5.5,6.4,8.2,2.0,6,6.0,8.0
12521038,7.6,6.0,6.9,6.3,7.0,6.0,7.5,7.4,7.5,8.3,6.5,6.9,4.5,7,8.0,8.0
10121900,8.6,8.2,7.4,7.8,7.5,7.9,8.0,7.5,8.2,8.5,6.2,7.0,3.0,7,6.0,7.0
10121904,8.6,9.5,8.4,6.5,8.8,8.8,8.2,7.2,7.8,9.0,6.9,8.5,2.0,8,9.0,8.0
10121910,9.0,9.3,8.2,9.0,7.9,8.2,9.1,8.2,9.4,8.8,8.3,7.5,5.5,8,8.0,8.0
10121134,6.7,6.0,4.8,5.8,8.0,5.9,5.3,5.3,5.8,6.0,6.3,6.5,3.0,8,8.0,7.0
10121926,8.3,8.4,8.6,7.8,8.5,9.1,7.8,8.0,8.5,9.3,7.4,8.7,2.0,9,9.0,8.0
12521065,8.2,7.8,6.7,7.5,8.3,7.8,8.6,6.0,8.3,7.5,7.2,6.7,3.0,5,6.0,5.0
10121449,7.9,7.1,7.4,8.3,7.8,7.3,8.4,0.0,8.8,8.3,7.7,7.5,0.0,9,8.0,7.0
10121187,6.4,7.4,5.8,5.0,5.5,5.7,5.5,7.4,6.0,5.0,6.0,7.9,7.0,8,8.0,7.0
12521108,9.0,9.0,10.0,7.5,8.8,9.4,9.3,8.3,9.0,9.3,8.8,9.0,6.5,8,8.0,8.0
10121755,8.3,8.2,8.7,6.8,7.0,6.5,7.3,7.7,8.2,8.5,6.0,8.3,1.5,7,7.0,7.0
10121766,6.8,8.2,7.9,5.5,6.0,6.4,6.3,7.7,5.5,7.0,8.0,8.3,2.0,7,8.0,8.0
10121785,8.0,7.2,7.4,7.0,5.0,4.7,6.2,8.3,7.7,8.5,7.3,8.7,6.5,8,8.0,9.0
10121232,8.0,6.7,7.5,5.5,7.3,5.4,5.2,5.9,5.5,6.5,7.3,8.5,6.0,7,7.0,9.0
10121975,8.5,8.9,7.3,7.0,7.0,8.5,7.9,6.8,8.2,9.0,7.5,8.4,6.0,8,7.0,8.0
10121349,7.5,6.7,6.9,8.3,7.0,5.2,7.8,6.9,7.2,7.3,8.3,8.2,3.0,8,9.0,9.0
10121416,8.0,7.9,8.3,7.8,7.3,5.4,6.6,6.0,6.3,6.5,9.0,8.8,4.0,8,8.0,9.0
10121039,9.5,9.2,9.3,8.0,9.0,7.3,8.5,7.4,7.2,8.8,9.3,9.0,3.5,9,9.0,9.0
10121115,9.3,6.3,6.9,6.8,4.0,6.2,6.8,5.9,7.2,8.0,7.3,7.9,3.5,8,8.0,8.0
10121101,7.7,6.2,5.5,6.3,5.5,6.0,6.0,5.4,6.7,3.8,5.8,8.3,3.5,7,8.0,6.0
10121055,6.4,6.5,3.5,7.3,6.5,5.3,5.9,6.4,4.9,3.8,7.0,8.2,3.0,7,8.0,6.0
10121640,7.9,6.2,6.0,5.8,5.5,5.4,5.3,4.9,5.7,1.5,6.8,6.9,0.0,7,7.0,7.0
12521016,6.8,7.3,6.3,6.5,7.3,6.2,6.8,7.2,6.0,7.5,6.8,8.5,5.0,8,7.0,9.0
12421009,8.5,8.9,7.8,8.0,7.3,6.4,7.5,6.7,8.0,8.0,9.3,8.3,5.0,9,8.0,9.0
12521095,8.8,9.4,9.9,7.3,5.8,8.0,8.3,8.7,7.8,9.0,8.3,8.9,6.0,8,7.0,8.0
10121877,6.5,6.0,6.4,5.3,6.3,5.5,7.3,7.2,5.5,6.3,7.0,8.0,6.0,8,7.0,9.0
10121508,7.5,6.4,3.0,7.0,6.8,6.0,6.3,5.2,7.3,7.5,6.3,8.0,4.5,7,7.0,8.0
10121227,7.3,6.7,7.0,6.3,5.5,6.2,5.8,6.7,6.8,7.0,5.8,8.7,6.5,7,7.0,8.0
10121920,6.7,6.4,6.4,7.5,5.5,5.0,4.3,5.9,5.4,5.5,7.5,8.4,6.0,8,7.0,6.0
10121472,0.0,5.5,6.2,7.5,7.0,5.5,5.1,5.5,6.0,2.0,8.0,7.8,3.0,8,8.0,9.0
12521037,6.4,6.0,9.0,8.5,7.8,7.3,7.5,7.9,6.4,8.6,8.3,7.5,0.0,7,7.0,7.0
10121005,7.5,6.4,7.8,6.3,4.5,5.8,5.8,6.7,8.4,8.0,8.0,8.7,2.0,8,8.0,9.0
10121647,7.5,5.8,7.0,6.8,5.0,6.5,5.5,5.0,5.3,7.3,8.0,8.3,3.5,7,7.0,8.0
12521069,8.5,8.0,8.7,5.0,8.0,8.6,9.2,9.0,9.5,9.3,9.3,8.3,4.0,8,8.5,7.0
10121757,9.0,8.0,7.7,9.0,6.5,7.4,7.3,7.5,7.3,7.8,5.7,5.5,2.0,7,4.3,9.0
12521116,6.5,5.0,6.4,7.3,8.0,8.0,7.9,7.4,7.5,8.3,6.5,6.9,3.5,7,7.8,5.0
10121693,7.5,8.0,7.2,6.5,7.7,5.5,7.5,6.2,7.4,7.3,5.8,5.4,4.5,6,6.5,8.0
10121470,7.9,8.0,7.2,8.0,8.0,6.8,6.3,7.9,6.9,7.8,6.4,7.2,2.0,7,7.3,5.0
10121809,5.7,8.0,3.2,6.8,5.5,8.7,8.1,7.7,7.3,8.3,7.2,7.2,1.5,8,7.5,6.0
12521123,5.5,6.0,3.9,3.5,3.0,7.0,6.2,7.4,5.9,2.8,7.8,7.0,6.5,6,4.8,5.0
12521127,7.5,7.0,6.2,4.5,8.3,7.3,4.9,6.4,7.0,4.5,7.8,7.0,6.0,5,0.0,7.0
12521130,7.3,9.0,6.8,6.3,7.7,8.0,7.8,8.3,7.2,7.3,7.8,6.5,5.0,9,6.0,9.0
12421016,7.5,7.0,7.9,7.3,9.3,9.5,8.8,9.2,8.7,9.0,8.8,8.0,7.5,9,7.8,8.0
10121150,8.8,6.0,5.4,7.8,7.3,9.2,7.9,7.8,8.9,9.0,8.9,8.0,3.0,8,7.5,5.0
10121192,8.3,7.0,7.7,7.8,8.0,8.1,7.9,7.9,7.5,8.5,7.6,7.4,6.0,7,8.3,7.0
10121230,7.5,6.0,6.9,7.0,8.3,7.1,7.4,8.7,8.2,8.3,8.5,7.9,3.5,8,7.5,6.0
10121896,7.8,7.0,8.0,6.5,6.5,9.2,8.1,9.4,9.8,9.1,9.3,8.0,7.5,6,8.3,7.0
12221553,7.5,7.0,8.3,6.3,8.3,8.4,7.4,8.0,7.9,7.5,8.0,8.0,6.5,8,7.8,6.0
10121247,8.0,7.0,6.2,9.0,6.0,7.5,5.8,8.2,6.3,7.0,5.0,7.3,4.0,8,5.5,6.0
10121313,6.3,0.0,5.8,5.5,6.2,7.5,6.3,7.5,7.3,5.5,5.8,6.0,3.5,6,8.0,8.0
12521143,6.5,6.0,6.3,6.0,7.4,7.8,7.3,8.4,7.9,2.0,7.2,6.4,4.5,8,5.3,6.0
10121934,8.8,8.0,8.8,8.5,7.0,9.2,8.0,7.2,7.8,8.0,7.0,7.2,2.5,7,8.5,5.0
10121943,8.8,7.0,7.3,7.0,7.8,8.7,8.3,6.1,7.9,8.1,8.0,7.5,2.0,6,7.8,5.0
10121085,9.2,7.0,2.9,8.5,6.2,8.2,6.0,7.9,7.3,5.0,6.2,6.7,2.5,9,7.3,6.0
10121571,7.8,6.0,5.8,7.0,6.9,7.2,6.1,7.5,7.0,7.5,6.9,7.2,2.5,7,7.3,6.0
10121284,5.5,8.0,5.8,6.3,5.8,5.2,6.3,5.2,7.3,4.5,4.4,7.5,1.0,6,0.0,8.0
10121742,8.5,8.0,6.9,5.5,6.2,7.1,7.5,7.9,7.7,6.5,6.9,7.9,3.0,7,4.8,7.0
12521063,8.5,8.0,5.4,7.3,6.3,5.7,7.7,5.3,6.7,5.3,5.7,6.2,2.0,7,0.0,8.0
12521109,9.0,6.0,6.5,7.3,7.3,6.6,6.4,6.2,7.3,3.0,5.7,7.0,2.0,9,4.3,6.0
10121597,6.4,7.0,5.8,6.5,6.3,6.0,4.8,0.0,6.7,5.0,5.8,5.7,3.0,7,7.3,5.0
10121154,6.5,6.0,6.8,5.5,6.0,6.7,5.1,6.5,7.2,7.0,7.5,7.2,2.0,7,4.5,9.0
12521110,8.0,7.0,7.5,7.8,5.5,7.0,7.4,5.9,8.2,2.8,5.2,7.2,3.0,7,7.5,6.0
10121756,5.7,7.0,2.9,7.8,7.8,7.7,6.6,0.0,7.3,5.5,6.4,7.5,3.5,6,4.0,7.0
12521114,9.0,8.0,7.2,5.5,5.4,6.8,6.9,6.2,7.4,7.5,7.2,7.8,2.0,9,4.5,7.0
10121497,7.0,9.0,6.0,7.5,8.3,5.5,7.1,6.2,7.0,5.5,7.4,7.4,1.5,9,4.0,7.0
10121763,9.3,6.0,7.7,9.3,8.7,8.9,9.2,8.0,9.3,8.5,9.3,7.7,3.5,8,8.0,6.0
12521102,6.5,5.0,7.5,8.3,8.0,6.4,7.5,6.9,7.5,6.5,6.3,7.3,1.0,8,6.0,6.0
12521021,5.5,6.0,5.5,5.3,6.5,5.2,6.4,6.8,7.8,6.0,5.4,7.9,4.0,7,5.0,5.0
10121073,6.5,8.0,5.7,7.3,8.1,6.6,6.8,0.0,6.8,6.0,5.7,6.9,3.0,8,6.5,8.0
10121430,8.3,6.0,6.0,7.3,6.3,6.7,6.4,6.8,7.7,2.5,5.4,6.5,2.0,9,0.0,7.0
12521024,8.3,5.0,3.4,6.8,6.5,6.1,6.5,5.7,7.3,6.0,7.0,7.9,2.0,7,6.0,5.0
12521169,8.8,10.0,7.8,9.3,7.0,8.3,7.3,7.4,7.9,8.3,7.3,7.5,2.5,8,7.5,9.0
10121436,7.0,0.0,0.0,6.0,6.0,5.7,5.0,0.0,6.4,2.0,5.9,7.2,1.5,5,0.0,5.0
10121108,8.8,0.0,2.9,7.5,7.4,7.5,7.4,5.8,6.7,5.5,0.0,5.4,2.0,9,7.5,7.0
10121665,8.3,5.0,7.5,5.8,8.0,6.5,7.0,6.7,8.2,7.0,7.0,6.7,2.5,9,6.5,6.0
10121322,9.4,6.0,3.3,6.5,7.2,7.5,8.2,6.3,8.4,3.5,5.4,4.3,5.5,8,0.0,6.0
10121544,7.2,7.0,6.5,7.5,5.7,6.7,7.7,7.0,7.9,3.0,5.0,6.7,2.5,6,6.8,6.0
12521135,8.8,8.0,9.2,8.5,7.3,7.0,8.9,7.3,7.9,8.5,7.9,7.7,3.5,8,8.8,6.0
12521100,8.8,7.0,8.5,7.8,7.4,7.2,7.1,6.4,8.3,8.0,7.0,7.3,2.5,9,6.0,6.0
12521093,6.3,6.0,6.7,5.5,6.2,6.9,5.4,6.2,8.2,5.5,7.2,6.2,0.0,6,0.0,7.0
10121884,7.4,8.0,7.3,7.8,6.5,6.1,7.7,7.2,8.0,4.5,7.0,6.0,4.0,7,6.3,7.0
12421015,8.7,7.0,9.2,8.3,6.0,8.2,8.2,7.3,8.4,3.5,6.8,7.2,3.5,9,8.8,6.0
10121891,9.3,7.0,8.3,9.5,6.8,8.9,8.6,7.7,9.5,8.0,8.7,7.9,4.5,8,6.5,5.0
12521099,9.0,7.0,5.7,8.0,7.9,6.0,7.3,6.3,8.4,6.8,7.3,7.8,2.5,7,6.8,7.0
10121029,5.5,9.0,6.3,5.8,5.2,6.0,4.8,5.8,6.5,5.5,5.9,6.2,2.5,7,8.8,8.0
10121541,8.0,7.0,3.0,5.8,6.7,6.7,7.0,5.8,7.4,6.5,7.2,7.8,1.5,6,5.3,8.0
12521161,9.0,6.0,7.3,7.3,7.3,8.7,9.0,7.4,7.2,8.0,7.9,7.8,4.0,8,7.3,8.0
12521146,8.8,9.0,7.3,8.5,7.2,8.4,8.9,6.4,7.7,5.5,7.3,6.5,3.5,9,8.8,8.0
10121911,6.7,8.0,6.5,8.0,7.0,5.7,7.9,6.1,7.4,5.5,6.5,7.2,3.5,8,6.5,6.0
10121372,8.0,8.0,2.9,6.0,7.0,7.3,6.4,0.0,7.2,2.0,5.8,7.8,0.5,7,0.0,7.0
12521026,8.9,9.0,6.3,6.5,6.9,7.2,7.8,6.0,6.7,3.0,6.0,7.4,0.0,9,0.0,6.0
10121951,6.3,9.0,7.3,6.0,6.0,8.3,7.2,6.4,7.0,7.0,7.4,7.8,2.5,6,5.3,8.0
10121504,5.8,6.0,5.4,6.5,6.2,5.8,5.1,6.8,6.9,2.0,5.7,8.2,2.5,8,0.0,8.0
11421026,6.7,6.7,6.3,5.5,7.8,4.3,6.1,6.4,6.5,5.0,5.5,8.4,0.0,8,6.0,7.0
10121791,7.9,7.5,5.5,8.0,7.8,6.2,5.2,7.3,7.3,2.0,5.5,7.8,5.5,7,9.0,7.0
12021037,8.0,7.3,6.9,7.3,7.5,6.7,7.2,7.4,7.0,7.5,6.7,7.5,0.0,7,7.0,6.0
10121794,9.5,9.3,9.4,9.3,9.3,8.3,8.6,9.0,8.4,9.0,9.3,8.8,6.0,8,8.0,7.0
10121808,9.0,7.8,7.1,8.3,7.5,8.2,7.9,7.0,8.5,8.8,6.3,8.0,4.5,7,0.0,6.0
12421040,9.2,7.5,6.3,6.5,7.3,7.5,6.1,7.0,7.8,7.3,6.2,8.4,5.5,8,7.0,7.0
12521122,9.0,9.0,7.9,9.0,9.0,8.8,9.5,8.0,9.2,9.5,7.2,8.4,4.0,7,8.0,7.0
10121012,9.2,7.9,5.8,7.5,8.0,7.2,6.7,7.5,8.4,8.0,6.2,8.0,5.5,8,8.0,6.0
10121378,8.5,7.7,3.7,8.0,8.0,7.3,5.5,6.8,7.2,7.5,6.5,8.7,5.0,6,6.0,9.0
12521129,9.4,9.0,9.7,9.3,8.0,6.9,7.4,9.0,8.5,8.5,7.7,8.5,3.5,8,8.0,7.0
10121854,8.5,6.3,8.5,8.8,8.0,6.7,6.6,8.3,8.2,9.0,7.3,8.0,0.0,6,7.0,7.0
10121858,8.8,7.2,5.4,8.5,8.5,5.8,6.3,7.3,8.2,7.8,6.5,7.5,1.5,8,5.0,9.0
10121650,7.5,6.8,3.2,8.0,8.3,5.7,5.8,7.7,7.4,7.0,7.3,9.0,4.0,8,7.0,7.0
10621306,8.2,6.3,6.8,8.0,9.3,7.3,7.6,6.7,8.2,7.0,7.0,8.8,4.0,8,8.0,6.0
10121875,8.8,7.7,7.1,6.8,8.0,8.2,7.7,6.8,7.8,8.8,6.4,7.7,0.0,7,7.0,6.0
12521136,9.8,6.5,4.9,9.0,8.5,8.4,8.2,6.8,8.0,8.4,7.2,8.7,5.5,9,8.0,7.0
10121879,7.3,6.3,5.3,7.3,8.0,6.9,7.6,8.7,8.4,8.9,7.0,7.9,6.0,7,6.0,6.0
10121082,8.3,7.8,8.5,8.3,8.5,7.4,7.0,8.0,7.0,8.5,8.0,8.2,4.0,9,7.0,8.0
10120782,7.0,8.0,6.7,6.5,8.2,7.5,6.9,7.5,8.8,8.8,0.0,7.3,0.0,5,5.0,5.0
10121502,7.2,7.8,7.2,8.5,8.3,6.7,7.2,7.0,7.4,8.4,7.2,7.5,4.5,7,6.0,6.0
12521158,8.7,6.7,6.7,8.5,8.0,7.5,6.0,7.5,7.2,5.5,6.5,8.3,7.0,9,7.0,5.0
10121645,8.5,7.7,6.0,7.3,7.5,6.8,6.5,7.0,7.5,6.8,7.2,8.7,5.5,7,7.0,7.0
10121919,9.0,8.4,8.3,7.0,6.3,8.4,8.9,8.7,8.4,8.5,7.2,8.0,5.0,9,7.0,6.0
10121913,8.3,7.5,7.8,7.0,8.0,6.4,6.3,7.3,7.0,8.5,5.4,8.5,4.5,8,6.0,6.0
10121178,9.3,8.1,8.1,9.0,8.3,7.2,7.4,8.2,8.4,8.0,8.2,8.7,5.0,10,7.0,8.0
10121233,7.8,8.3,7.3,7.0,8.3,8.5,8.3,7.5,8.5,9.0,7.8,7.4,5.0,6,6.0,6.0
10121922,8.5,7.9,7.7,7.8,8.0,7.9,8.9,8.2,8.2,8.3,5.9,8.4,2.5,8,7.0,7.0
10121093,7.5,7.0,5.9,8.5,7.8,6.9,7.3,6.7,7.5,8.0,7.9,7.5,3.5,7,5.0,6.0
12521163,8.3,9.2,7.9,7.5,8.8,8.9,8.8,7.9,8.5,8.5,8.8,8.4,5.0,6,6.0,7.0
12521046,7.5,4.9,5.9,6.0,7.0,6.5,7.3,7.4,6.9,2.0,7.7,7.3,3.5,9,9.0,7.0
10121613,9.4,7.8,6.6,7.0,8.3,7.2,6.7,8.3,6.7,6.8,6.7,7.8,5.0,6,7.0,6.0
