Môn học,Đại số tuyến tính,Giải tích,Kiến trúc máy tính, Lập trình Python cơ bản,Cấu trúc dữ liệu và giải thuật,Cơ sở kỹ thuật lập trình, Cơ sở dữ liệu, Lập trình hướng đối tượng ,Lập trình ứng dụng Windows Form,Pháp luật đại cương,Kỹ năng mềm,"Tiếng Anh tăng cường
"," Giáo dục thể chất 1
", Giáo dục thể chất 2,Giáo dục thể chất 3
12422005,7.0,9.2,6.3,7.7,6.7,7.5,7.5,6.7,8.8,5.9,8.6,8.0,6,7.0,8
12522032,6.8,9.5,8.0,7.1,7.2,7.5,7.0,7.5,7.0,7.3,8.9,8.0,6,8.0,8
10122187,6.5,9.0,7.5,8.6,7.1,8.8,7.8,7.5,7.8,6.7,8.7,7.5,9,6.0,7
12422009,6.3,9.3,7.5,8.2,7.4,8.5,7.4,6.4,8.5,8.2,8.5,8.0,6,6.0,6
10122199,8.1,7.7,6.3,7.2,7.0,7.3,7.1,6.8,8.3,6.5,8.5,9.0,9,6.0,8
12422010,8.3,10.0,9.3,8.0,8.6,9.0,8.6,7.8,8.5,7.3,9.0,7.5,8,8.0,8
10122211,7.3,7.5,6.0,6.8,7.2,7.8,7.2,7.5,7.5,7.2,8.6,8.5,6,6.0,8
10122222,9.0,9.8,8.8,7.8,8.2,8.5,8.4,7.9,7.5,7.6,8.5,7.0,7,8.0,9
12522060,8.7,9.8,9.3,8.2,8.8,9.3,8.7,9.2,9.0,7.3,9.0,8.5,6,7.0,7
12422013,6.8,6.8,7.5,7.4,7.3,8.5,7.7,7.9,7.0,7.0,8.5,8.5,9,7.0,8
12522071,8.8,9.2,7.3,7.7,7.4,8.8,7.2,7.6,6.8,6.8,8.5,6.5,7,7.0,8
10122291,9.2,9.7,9.5,7.5,8.9,8.8,8.3,8.7,7.8,8.7,9.0,7.5,8,7.0,7
10122319,6.9,9.4,7.5,7.1,6.2,7.8,6.7,7.6,6.5,6.5,8.3,8.0,7,7.0,8
12422015,7.9,9.7,8.5,6.9,8.1,8.3,8.0,7.6,6.5,5.8,9.0,8.5,7,8.0,8
10122381,8.6,9.9,8.5,8.9,9.3,9.9,9.0,9.7,9.0,7.4,8.7,6.5,7,6.0,8
10122399,9.3,9.9,9.5,8.7,8.8,9.3,9.1,9.6,7.8,7.2,9.0,8.0,9,5.0,9
12422016,6.3,8.8,6.8,7.7,6.6,8.5,8.2,7.8,6.5,7.3,8.9,7.0,7,7.0,7
10123203,6.5,3.4,3.3,5.5,0.0,1.5,0.0,0.0,0.0,1.0,7.9,0.0,7,0.0,0
12523038,7.4,2.0,3.0,6.8,0.3,0.0,0.0,3.3,3.5,5.7,7.9,0.0,5,6.0,7
12523053,5.4,0.8,3.5,5.6,7.2,7.3,5.2,6.3,0.0,5.3,9.1,0.0,7,9.0,6
10123311,6.9,,,4.7,5.0,3.4,,5.2,3.0,,8.6,1.5,6,,6
12423006,7.7,6.7,6.8,5.9,6.6,5.4,5.3,8.8,2.8,5.3,8.1,7.0,6,6.0,5
12522045,8.3,3.5,5.5,7.8,7.4,7.2,1.0,8.6,7.6,7.3,8.0,0.0,9,8.0,0
10123304,8.0,8.1,1.0,7.8,6.5,7.7,6.2,5.5,6.5,7.0,8.2,5.5,7,9.0,7
10123081,9.2,,,6.7,5.4,7.3,,6.7,6.8,,8.5,0.0,8,,8
10123187,7.7,6.2,7.5,6.8,8.4,8.0,7.0,8.4,3.0,5.3,8.8,7.5,7,7.0,7
10123133,6.3,,,5.8,5.0,6.9,,5.6,6.8,,7.8,0.0,0,,5
12423034,5.2,7.4,6.0,6.7,6.2,6.4,5.0,6.6,4.8,6.0,8.0,5.5,3,2.0,5
10123124,7.9,7.9,6.5,6.4,7.0,7.3,7.2,3.4,0.0,5.0,7.4,0.0,6,6.0,5
12423032,5.0,7.9,8.0,7.3,6.3,7.8,6.0,6.6,3.8,7.5,8.5,7.5,6,7.0,7
12423060,5.4,5.4,8.0,7.3,6.6,7.6,5.0,6.1,6.0,4.8,8.1,6.5,6,8.0,6
12423025,5.7,4.2,6.3,5.3,6.1,6.8,6.4,7.8,6.5,6.8,8.4,7.5,7,8.0,8
10123219,9.2,8.9,8.3,6.9,7.9,7.3,7.9,7.8,6.5,8.3,8.7,8.0,10,7.0,8
12423029,4.8,2.9,5.5,5.6,5.8,6.6,5.5,6.6,7.0,6.5,8.2,6.5,6,5.0,7
10123227,5.8,6.2,7.3,7.8,7.4,7.4,6.8,8.3,6.3,7.0,8.4,7.0,6,5.0,6
12423022,9.4,8.8,5.8,6.6,6.3,3.6,5.4,8.2,7.3,7.0,8.3,6.5,7,7.0,5
12423035,7.6,7.4,7.8,9.6,8.4,9.6,6.8,7.4,8.5,6.0,8.3,4.5,6,0.0,7
12423062,6.7,7.3,8.5,7.0,5.4,7.2,6.9,7.8,4.8,6.5,8.2,6.5,6,7.0,6
12423063,7.5,7.4,7.3,7.3,7.2,7.2,6.0,6.9,8.3,6.3,8.2,6.5,5,8.0,6
12423010,9.0,6.8,6.5,7.4,6.4,7.5,6.0,7.9,6.0,6.0,8.4,7.5,8,8.0,7
10123307,9.4,7.5,0.0,6.4,6.5,7.0,6.8,5.9,7.5,7.0,8.4,7.0,10,7.0,8
12423049,6.7,2.7,8.5,8.0,7.0,8.3,6.7,8.1,8.5,7.3,8.6,6.5,7,9.0,6
12423057,9.0,7.5,8.3,6.8,6.1,8.4,6.5,6.4,7.5,6.3,8.4,8.0,8,9.0,8
12423047,7.7,6.7,7.5,7.6,7.1,7.5,7.5,6.8,6.8,7.8,8.0,6.5,7,9.0,8
12423027,8.4,6.9,7.8,7.4,7.1,8.2,5.5,7.4,7.0,5.8,8.6,7.0,8,7.0,8
12423043,8.9,8.3,7.8,8.2,6.8,7.8,7.0,7.2,6.8,6.8,8.0,7.5,7,6.0,7
10123329,8.3,9.0,6.8,7.4,6.7,7.4,7.8,6.3,6.8,7.5,8.3,7.0,7,6.0,8
12423004,7.4,7.8,8.8,7.0,8.3,7.9,6.9,7.3,8.0,5.8,8.1,6.5,6,8.0,8
12423005,9.2,9.3,9.8,8.0,8.9,9.3,7.7,8.5,8.5,7.5,8.2,6.5,8,8.0,8
12423026,6.7,5.9,8.0,6.7,6.9,7.9,6.3,6.2,6.8,7.5,8.0,6.5,6,7.0,8
12423002,8.2,7.7,7.5,6.7,6.8,6.8,6.7,7.2,6.3,7.8,8.0,5.5,5,5.0,8
10123015,7.0,7.2,6.0,5.4,7.0,6.6,7.3,7.4,6.5,7.0,9.4,7.5,6,6.0,8
12423031,7.9,8.6,8.8,7.2,7.0,8.1,6.0,6.8,6.3,6.3,8.4,7.0,6,6.0,7
12523002,8.2,8.2,7.0,6.9,8.4,8.3,6.9,7.5,9.0,6.5,9.4,7.0,8,7.0,8
12423014,7.2,7.3,8.5,7.9,7.0,8.2,7.7,7.9,6.5,7.3,8.5,7.0,6,6.0,7
10123096,8.9,7.9,8.3,8.2,7.1,8.5,5.8,6.9,7.5,6.3,8.5,7.0,7,8.0,7
12423016,8.4,8.1,8.5,8.1,8.0,7.6,7.8,7.5,7.0,7.0,8.6,7.0,8,9.0,9
12423017,7.9,9.4,8.8,8.4,7.7,8.7,7.5,7.9,8.3,6.3,8.2,7.0,7,6.0,6
12423009,9.4,8.2,8.8,8.7,8.9,9.7,7.7,7.8,9.0,7.3,8.8,7.5,8,6.0,8
12423073,8.8,9.2,9.3,7.1,8.0,8.1,7.7,7.5,8.0,7.8,8.4,7.5,7,7.0,7
12423011,8.8,9.2,9.3,9.2,8.9,9.8,9.3,8.9,9.0,6.8,8.7,6.5,9,9.0,9
