MÔN HỌC,111125- Đại số tuyến tính,211100- Định hướng nghề nghiệp,921204- Giáo dục quốc phòng và an ninh,"921113- Giáo dục thể chất 1_x000D_
",221104- Kiến trúc máy tính,"211132_x000D_
- Lập trình Python cơ bản (2+1*)",211131- Cấu trúc dữ liệu và giải thuật (2+1*),211560- Cơ sở dữ liệu (3+1*),211002- Cơ sở kỹ thuật lập trình (2+1*),111126- Giải tích,921114- Giáo dục thể chất 2,231005- Mạng máy tính (2+1*),911602- Pháp luật đại cương,911102- Triết học Mác - Lênin,221028- Cơ sở thẩm mỹ (2+1*),921115- Giáo dục thể chất 3,221190- Hệ điều hành (2+1*),221048- Khai thác ứng dụng số,711170- Kỹ năng mềm,211460- Lập trình hướng đối tượng (2+1*),221125- Thiết kế đồ họa cơ bản (2+1*),221129- Thiết kế web cơ bản (2+1*),"151100_x000D_
- Tiếng Anh tăng cường_x000D_
",221050- An ninh mạng (2+1*),221052- Đồ án 1,221051- Đồ họa vector (2+1*),221030- Hình họa (2+1*),911203- Kinh tế chính trị Mác - Lênin,221134- Phân tích thiết kế thuật toán,151139- Tiếng Anh 1,121249- Vật lý kỹ thuật,911302- Chủ nghĩa xã hội khoa học,291002- Đồ án 2,911409- Lịch sử Đảng Cộng Sản Việt Nam,221026- Thiết kế dàn trang (2+1*),211147- Thiết kế UI/UX (2+1*),151140- Tiếng Anh 2,215685- Tiếng Anh cho CNTT 1,221049- Trang trí (2+1*),111010- Xác suất thống kê,221144- Biên tập video (2+1*),221021- Đồ án 3,111209- Giải tích số,711136- Tâm lý học kỹ sư,221142- Thiết kế đồ họa nâng cao (2+1*),151141- Tiếng Anh 3,215687- Tiếng anh cho CNTT 2,211011- Toán rời rạc,911504- Tư tưởng Hồ Chí Minh,221145- Bố cục xa và gần (2+1*),221022- Đồ án 4,221143- Kỹ xảo video (2+1*),231007- Thực tập doanh nghiệp,231129- Tiếng anh cho CNTT 3,221182- AI tạo sinh và ứng dụng,231006- Đồ án 5,231183- Đồ án/Khóa luận tốt nghiệp,211152- Thiết kế UI/UX cho ứng dụng web và thiết bị di động (2+1*),211145- Thiết kế và quản trị Web mã nguồn mở (2+1*)
10121155,7,8.8,7.3,8,6.5,7.2,6.2,4.9,4.7,5.7,10,7,7.5,6.7,7,9,5.3,6.7,8.4,7.2,7.3,6.5,5,5.1,8.2,6.3,5.5,5.5,5.8,5.8,7.1,5.6,7,5.5,6,6.8,7.9,6.8,7.1,5.4,7,7.7,7.8,8.9,5.8,8.2,6,5.2,6.3,6,7.7,7.3,8.3,1,,,6.9,,
10121534,5.8,8,7.5,7,5,6.8,6.4,5.2,6,5.5,7,7.3,7,7.7,7.8,7,2,7,8.3,7.4,7.8,7.5,4,6,8,7.3,5.8,6.5,6.7,7.5,7.5,6.9,7.5,6.8,7.8,6.5,7.9,7.8,7.4,7.7,7,7.3,8.4,8.7,7.3,8.2,6.3,7.2,7.7,7.3,7.9,7.2,8.5,5.3,,,7.8,,
10121479,8.7,8.5,7,7,7.5,7,4.2,5.9,0,5.3,8,6,7.8,7.3,4.8,6,1.5,6.8,8.4,6.4,5,5.5,4.5,5.8,6,6,6.3,6,4.8,6.7,8,8,7.5,7.1,7.3,6.5,7,6.8,7.2,8.4,7.8,7,8.5,8.3,6.5,7.6,6,6,8.2,6.8,7.3,7.3,8.3,6,,,8.2,,
10121336,7.4,7.8,7.8,8,9,7.4,5.3,7.3,7.5,7.7,6,6.9,6.2,7.5,7.3,8,0,7.7,7.4,6.5,7,8.7,2,6.9,8,7.3,7.5,6.8,7.5,7.7,7.8,7.3,7.8,7,7.5,7.3,8.1,8.5,7.3,5.5,7.5,7.5,8.7,8.4,7.3,7.9,7.3,6.2,7.2,8,7.3,7.9,8.3,6.3,,,7.6,,
10121788,7.7,8.3,7.8,7,6,6.3,6.8,7.4,6.5,3.5,7,7.7,7.5,6.7,5.5,7,7.5,7.3,8.2,8,7.5,7.8,6.5,6.7,7,8,7,6.3,5.4,8.3,7.4,7.8,8.5,8.2,6.5,7.8,9,8.3,7.1,7.9,8.5,8,8.5,8.3,7.3,7.4,7.3,6.7,8.2,7.5,7,7,8.3,6,,,7.7,,
10121046,6.8,8.8,7.9,6,8.3,6.8,5.4,4.2,5.5,5.2,7,7.3,7,7.8,6,6,1.5,7,8.2,5.8,7.5,5.5,5.5,5.5,6.8,7,7,6.4,5.7,7.3,7.7,6.4,8,7.7,7,7,8.1,8.5,6.3,5,8,7,7.5,8.8,7,8.3,6.8,5.5,7.4,9,7.4,7.1,8.3,1.5,,,8,,
10121805,7.5,8.8,7,7,9,8.3,6.5,6.3,5.1,8.7,8,7.7,8.5,8.5,8.3,7,7.5,8,8.7,6.4,7.5,7,4,4.6,8.5,6.8,6.8,6.5,7.4,7.6,8.2,6.8,7.5,8.4,7.3,7.3,8.5,7.8,8.8,9.1,7,7.7,9.3,8.6,7,8.1,7.5,8.4,8.1,8.3,7.8,7.2,8.2,7,,,7.8,,
10121485,7,8.5,7,8,7.8,7.3,6.2,5.9,6,6.4,7,6.4,7.8,8,7.8,7,6.8,7.3,8.4,6.3,7,5,4.5,4.8,6.3,5.8,6.8,5.8,6.4,6.5,8.1,7.9,7,7,7,6.3,7.8,7.3,5.9,6.1,7,7,8.8,8.7,6.5,8.1,6.5,6.3,7.5,7.3,7.5,7,7.3,6.3,,,7.8,,
10121810,8.4,9,7.5,7,7.5,6.7,6.6,5.9,7.2,9.2,6,6.9,8.3,7,5,7,6,7.8,8.4,6.5,6.5,5,1.5,4.5,6.5,5.8,5,5.8,6.3,5.7,7,5.1,7,6.9,5.5,6.8,7.3,6.8,6.2,5.2,7.5,6.9,8.4,9,5.5,8.3,6.3,6.9,7.6,6.8,7.3,7.8,8,6,,,7.8,,
10121813,6.7,9,7.3,6,6.5,8.8,6.5,4.5,5.6,5.8,6,5.2,5.5,6.7,5,7,0,5.7,7.9,6.7,8,7.8,0,4.6,8,6.5,5,3,5.2,0,7.3,7,9,7,7.3,7,7.7,6.3,6.9,3.8,6.5,8.5,7.4,8.4,6.3,8,5.8,7.8,8.2,6.8,7,6.8,8.3,5.3,,,7.3,,
10121214,8.5,8.8,7.8,8,6.5,7.7,5.3,6.7,4.7,6.7,7,6.5,7.8,8.3,7.8,7,6.5,6.9,8.2,5.3,7,5,3,5.3,7.2,7,6.8,6.5,7.2,7,8.2,6.2,7.5,7.2,7.3,7.3,8.3,6,7.9,3.8,7,7,8.7,8.4,5.8,7.7,7.3,6.9,8.1,7.3,8.2,7.4,8.5,6.3,,,7.5,,
10121602,7.3,9,7.5,6,4.5,6.9,5.5,6.5,6.1,6.4,9,6.7,6.8,7.3,6.3,7,1.5,6.7,8.2,5.3,7.3,5,6,5.5,4.5,7,,6.3,6.7,7.6,7.3,7.2,8,6.6,7,7,8.3,7.3,7.2,5.1,8.5,8.4,8,8.6,6.8,8.2,6.5,6.8,8.4,6.5,7.5,7.3,8.3,1,,,7.8,,
10121837,5,8.3,7.7,7,8.8,8.5,6.3,5.3,5.8,6.7,8,6.3,4,6.3,6.8,8,5.8,7.4,8.5,7.3,7,6,3.5,5.9,8,8,6.5,5.7,6.3,7.2,8.2,7.9,8,7.3,7.5,6.5,8.4,6,7.4,6.3,8.3,7,9.3,8.5,6,7.8,5.8,6.8,7.1,7,7,6.7,7.3,1.5,,,7.7,,
10121850,7.7,9,8,9,5,5.9,6.7,6.3,7.4,6.5,8,7.5,7,8,7.3,10,7.3,7.4,8.7,6.3,7,8.5,6.5,6.8,9.3,8,8,6.8,8.5,8,8,8.1,9,8.3,7.3,8.8,8.9,8.8,7.6,8,9,8.9,9.8,9.2,8.3,8.6,7.8,8.4,8.6,8.3,8.3,8.2,7.7,7,,,7.8,,
10121860,0,8.8,7.5,6,7.3,7.8,5,5.5,6,0,7,6.9,5.5,6.2,2,0,2,2.5,8,5.9,3.3,1.5,2.5,5.6,6.3,0,2,6.3,5.4,6.7,7.8,6.4,6,0,0,5,2.5,5,6.7,4.3,6.5,6.5,1.3,7.4,6.5,7.6,6,5,6.8,7.3,6.3,6.5,7,1,7.7,5.5,,7.1,6.1
10121861,7.5,8.3,8,6,7.8,8,5.5,6,5.9,5.3,8,7.3,5.8,6.9,6.3,9,0,7.3,8.2,5,7.3,7.7,7,6.6,7.3,7,7.3,6.3,6.5,8.5,8.1,6.4,7.5,7.4,7,7.8,8.6,6.5,7.5,6.7,8,7.9,9.3,9,8,8.4,6.5,8.2,8.3,7.3,7,6.9,7.1,7,,,8,,
10121864,7.5,8.5,7.2,6,6.8,7.8,6.7,6.5,5.8,7.5,8,7.3,8.8,6.7,8.3,8,8,7.4,8.2,7.5,6.5,7.5,3,6.3,7.4,7.8,6.5,6.8,6.3,8.8,7,6.9,7.5,7.6,7,7.8,8.1,7.5,8.6,6.4,7.8,7.7,9.8,8.5,7.3,8.1,8,8.3,8.4,9,7.3,7.4,7.3,7,,,8.2,,
12521031,9.4,8.5,8.2,8,6.5,6.8,6.5,7.3,7.6,9.3,6,7.3,8.5,7.8,8.8,9,0,7.3,8.2,6.4,6.3,7.8,3,5.7,1.5,8.3,6.8,7.3,8,8.6,8.3,7.3,8,8.6,7,8,8.2,8.3,7.7,9.3,8.5,8.3,9.8,8.8,8.3,8.2,7.5,8.5,8.3,7.8,8.3,7.9,8.3,7,,,8.1,,
10121041,7.4,8.5,8.4,8,7.3,7.8,7.3,6.8,6.5,6.4,8,6.8,8,7.4,8.5,8,6.5,7,8.3,6.8,5.5,3.5,4,5.4,6.3,6.5,6.5,6.5,6.8,6.6,7.9,7.2,8.3,6.2,6.5,7.8,8.6,7.5,8,5.8,6.5,7,8.7,8.7,6.8,7.1,7.3,6.4,8,7.3,8,7.4,8,6.3,,,8,,
10121161,8.9,9,8.5,8,9.3,6.3,8.8,6.7,8.3,6.8,8,7,7.5,8,6.8,7,8.5,8,8.5,7.7,7.3,8,6,6.4,8.7,7.8,7.3,6,6.8,7.5,7.9,7.1,7.7,7.4,6.8,8,8.2,8,8.4,7.9,8.3,7.6,9.2,8.8,6.5,7.7,6.5,7.7,8.2,7.5,8,7.7,8.3,6,,,7.3,,
10121443,8.5,8.8,8.5,8,8,7.3,6.2,6.8,8.3,7.4,8,7,7.2,7.4,8.3,8,0,7.7,8.1,6.3,6.8,7.5,4.5,5,7.7,8,7,7.3,6,7.1,8,7.6,8.3,8.1,7.8,8,8.3,7,7.8,8.9,8.5,8.6,9.5,8.8,7.8,8.3,7.5,9.1,8.8,8.8,7.5,8,8.3,7,,,8.6,,
10121022,4.7,9,6.2,8,3.5,7.4,5.9,4.3,4.3,3.9,7,6.4,6.8,6.2,5.8,7,1.5,6.5,7.7,5.8,6.8,6,6,4.9,6.8,7.8,7.3,5.5,6.2,7,6.4,6.6,7.4,7.6,7.3,6.5,7.6,4.8,7.3,3.2,8.5,7.5,8.2,8.4,6.3,6.6,7.5,5.8,7.6,7.8,6.8,7,8,6,,,8.1,,
10121464,7.2,9,7.7,9,8.5,6.9,7.2,5.3,5.3,5.8,8,6.9,7.5,8.5,7.5,8,8,7.9,8.4,6.9,6.5,8.5,5,4.7,7.9,8.3,8.3,5.5,6.7,7.1,7.7,6,8.4,6.9,7.5,8,7.9,8.3,8.4,5.7,8,8,8.3,9,7,6.9,6.5,5.5,7.3,8.5,7.8,7.5,8.3,6.3,,,8.5,,
10121591,7.4,8.8,7.2,8,6.5,7,7.2,5.3,5.8,7.2,8,7.2,7.5,7.9,6,7,6.5,6.7,8.1,6.4,6.8,6.4,2,5.6,6.9,7.8,6.3,6.8,5,7.2,7.2,6.6,6.9,6.9,7.8,7,7.2,8.5,6.3,5.4,7.5,7.5,8.8,8.8,6.3,3.8,7,6.5,7.2,7.3,7,7,8.3,1.5,,,6.8,,
10121915,8.2,9,7.7,9,8.3,7.3,6.3,5.9,6,6.4,8,7.9,7.8,7.9,8.8,6,7.8,6.8,8.6,5.4,6.8,6.5,2.5,5.6,6.8,6.8,8.3,7,6.4,7.3,6.3,8.2,8.3,7.8,7.5,7,8.1,8.8,8.3,8.3,7.8,8.4,9.8,8.4,8.5,8.4,7.5,8.4,8.8,9,8.3,7.7,8.4,7,,,8.6,,
10121925,7.6,8.5,7.9,8,8.5,8.8,8.2,8,8.4,7.6,8,7.3,7.5,6.8,8.3,7,9,8.3,8.5,7.9,7,9.3,4.5,7.4,9.3,8.8,8.5,7,8.7,8.2,7.8,8.3,9.3,8.9,8,7.5,8.3,8,8.2,8.9,9,9,8.9,9.1,8.5,9,8,8,9.1,8.3,7.5,8.7,8.3,7,,,7.8,,
12521157,7.2,8,7,7,5.5,7.8,4.9,5.6,6.4,5.9,6,5.8,6.2,6.9,6.3,0,0,7.7,8.2,0,0,4,0,5.6,0,7.3,6,5.8,6.3,4,7.2,6.8,7.3,5.6,6,7,7.7,6.8,7.6,3.8,7.5,7,7.5,8.7,6.3,7.7,6.3,5.7,7.6,6.8,2.5,7.2,7,6,,,8.4,,
10121010,7.3,9,7.3,6,6,7.4,3.8,4.1,4.7,6.4,7,5.3,6.5,6.8,6.3,6,0,1.5,7.7,4.7,4,1.5,0,3.5,6.5,7,6.3,5.3,1.5,5.1,7.1,6.5,6,1.9,5.5,0,0,4.3,8.4,5.9,7,5.9,1.3,8.2,5.8,0,0,3.8,6.5,6.3,6.5,7.3,8.3,1,7.1,5.9,,6.6,6.9
10121117,7.2,9,7.7,8,6.8,7.5,6.4,7.6,7.1,6.6,9,6,8,7.7,6.5,8,6.5,7.3,8.7,6,5.5,6.7,6.5,6.6,4.5,6.5,6.3,6.3,4.3,6.7,8.3,4.2,7.8,6.8,7,6.3,2.7,6.8,7.1,6.2,8,8.5,8.9,8.5,5.5,7.3,7,7.3,7.3,6.3,8.3,7.3,8,6.3,,,9,,
10121605,6.5,7.9,7.8,8,7.5,7.2,7,6.3,6.1,7.1,9,7,6.3,5.4,7,2,5.2,6.2,7,6.4,6.8,0,3.5,1.5,5.2,2.5,5.9,7.2,5.3,4,1.8,6.5,6,3.5,7,6.4,7.9,6.2,5.5,5.3,6,6.5,6.4,6.9,8.3,7.1,6.3,5.1,6.2,6.4,7.2,6.5,9,6,,,7.6,,
10121771,8.3,8.8,7.5,7,7.5,8.8,7.7,6.8,7.3,6.8,8,7.2,6.5,7.5,9,6.5,6.8,7.2,7.9,6.3,7,5,8,2.5,6.5,7.3,7.5,6.5,8.3,7.1,6.9,7.5,7.8,7.8,8,7.4,8.4,7.3,7.5,7.2,6.8,7.2,7.9,7.7,8.3,7,7.3,6.8,8,6,7.9,8.1,9.2,7,,,7.7,,
10121456,8.7,7.7,8,8,8.8,8.8,8,6.7,7.9,9.2,8,9.2,9,7.9,7,8.3,6.9,8.3,8.4,7.8,7.2,6.8,7.8,1.5,7.3,8.3,7.8,7.9,8.3,8.5,7.7,7.5,9,8.8,9,8.8,8.9,6.4,7.8,9.5,7.3,8.4,9.8,8.5,8.3,8,6.8,9,9.4,9,8.5,9.3,9.5,7,,,8.2,,
10121130,7.9,9,8,8,5,7.5,6.3,5.7,5.8,4.8,7,6.9,8.3,7.7,8,6.5,5.7,7.4,8.4,5.7,6.2,6.8,7.3,1.5,6.3,2.7,6.7,6.5,7.3,6,7.1,6.8,7.8,8,8,8,8.1,6.3,6.8,6.2,6.5,6.8,8.3,6.6,8.5,6.6,6,5.8,7.5,6.9,6.8,8,8.5,6,,,7.7,,
10121394,9.2,7.8,7.5,8,7.3,8.6,6.8,6.8,7.2,7.3,8,6.8,7.5,6,7,5.5,6.4,5.2,8.4,6,5.3,6.5,5.5,3.5,7.3,6.4,6.9,6.9,6.3,7.8,8,7.2,6.3,7.8,7.8,7.9,7.2,6,7.8,7.3,6.8,7,9,7.1,8.5,8,5.8,6.4,7.9,6.1,7,8,8.8,7,,,7.5,,
10121801,7.3,9,6.9,7,7,6.3,6.4,6.5,7.3,6.6,7,7.3,5.8,6.5,8,8,7.5,6.7,7.9,7.7,6.2,7.8,7.5,0,6.7,2.5,7.8,6.5,8.3,7.8,7.1,7.6,8,8.5,8,7.8,8,6.9,6.8,7.3,6.8,7.2,6.5,7.8,8.8,7.7,6.8,7.8,9.1,7.4,8.2,8.1,9.3,7,,,8,,
10121814,8,8.8,7.5,8,6.3,6.3,6.9,5.6,7.9,7.9,8,8,6.9,7.5,7,7.5,7.4,7.2,7.9,7,7,7.3,5.8,3,7.3,7.2,7.9,6.8,8,8.6,8.6,8.4,8.3,8,8.5,8.4,8.5,7.2,8.8,9,7.3,7.7,9.4,7.5,8.6,7.5,7.3,8.8,9,7.7,7.4,7.4,9.3,6.3,,,7.4,,
10121414,9.4,8,9,9,7.8,8.9,7,6.3,6.9,7.7,9,6.8,9.3,7.5,9,6.5,6.3,7.5,7.9,8,6.9,7,6.5,2.5,6.2,6.7,6.8,6.9,8,8.1,7.6,8.4,8,8.3,8.5,8.4,8.5,7.7,6.5,7.4,7.5,7.5,9.1,7.6,7.9,7.8,7.3,6.8,8.6,7.9,8.4,8.3,8.8,7,,,7.8,,
10121652,9.2,7.5,7.7,8,8.8,7.3,7.2,6.5,7.2,8.4,7,8.2,7.5,7.3,7,7.5,6.3,7.7,8.4,7.5,6.9,7,6,3,5.9,6.5,7.8,7.2,8,8.5,7.3,6.5,8,8,8.3,8.3,8.3,7.6,7.8,9.4,7,7.4,9.5,7.4,8.9,8.4,7,9.3,6.8,7.1,7.4,8,8.8,7,,,8,,
10121352,7.6,8,7.9,8,8.3,8.3,5.7,6,7.2,6.8,9,8,7.3,6.7,8,6.3,7.4,6.4,7.9,7,6.4,7,8.5,3.5,6,6.8,6.9,6.8,7.8,8.1,7.2,7.9,6.8,7.8,7.8,6.7,8,6.8,6.3,5.4,6.5,7.5,8.6,7,8.6,7.6,6,6.9,6.3,7.2,7.7,6.6,8.5,7,,,7.7,,
10121120,8,8.5,7.8,7,7.5,8.4,7.5,5,4.9,7.2,9,5.8,7.5,8.7,7,5.5,6.9,5.7,7.9,7.5,5.7,5,6.8,1.5,7.3,7.3,8,7.3,7.3,8.2,7.7,7,7.8,8.5,9,7.9,8.9,6.9,7.3,5.8,6.8,9,8.3,8.3,8.8,7.6,6.5,8.3,7.1,6.3,8.3,6.7,9.7,6,,,8,,
10121868,9.2,8.8,8.5,8,9.3,7.8,7.8,7.1,6.8,9.2,9,6.9,7.3,7.4,9,7.5,8,6.3,8.4,7.9,6.8,7.5,8.5,6,7.7,6.8,7.9,7.7,8.5,9.1,8.3,7.9,8.5,8.8,9,8.7,8.9,8.6,9.3,8.9,8,8.4,9.8,7.9,8.3,8.5,7.5,9.5,9.1,8.6,8.3,9.3,9.3,7,,,8.2,,
10121869,7.2,8.8,7,8,7.8,6,6.8,6.8,8.2,8.5,9,8.2,8.4,7.3,9,7.3,6.9,6.5,7.7,7.9,6.7,7,5.8,0,6.1,6.3,7.2,6.7,7.5,8.2,7.3,7,7,7.8,8,7.9,8.7,7.8,8,8.3,6.5,8.2,9.3,7.6,8,7.8,6,5.3,8.4,7,7.7,7.4,8.5,7,,,8,,
10121327,7.3,8.3,7.5,8,7.3,8.5,5.7,5.3,7,6.7,9,5.3,8,7.2,8,4.8,7,6.5,7.9,8,6.7,7,5,4.5,5,2.9,6.5,6.7,7.8,8,5.9,6.9,6.8,7.9,8.3,6.9,7.6,7.3,5.8,4.9,5,7.3,7.1,7.5,7.7,7.3,6,6.1,7,7,7.7,6.9,9.3,6,,,7.8,,
10121694,6.4,8.5,6.3,7,6.5,7.3,5.2,5.2,6.2,6.5,8,4.8,6,6,7,1.5,6,6.9,8.4,5.9,6.4,4.5,3.3,2,4.5,6.2,6.5,6.8,5.5,8.2,6.2,0.8,6,7.5,7,6,8.1,6.3,7,0,5.5,6.7,6.3,6.8,3.3,7.5,5.8,3.8,6.5,5,6.4,5.7,8.8,5.5,6.6,5.9,,7.2,7.2
10121888,8.5,9,8.3,7,7.8,8.3,0,6.5,6,7.3,7,8.2,7.3,7.9,8,7.3,7.5,7.2,7.9,7.2,6,6,8.5,1.5,5.6,7.8,6.9,7.7,8.8,8.1,7.8,7.3,7.5,8,8.5,7.9,8.2,7.1,6.5,8.8,7,8,9.9,7.9,9.2,8.3,6.3,6.9,7.9,2.7,7.3,5,8.8,6.3,,,7.8,,
10121655,5.5,7.8,7.4,7,7.8,7.8,5.4,6.2,5.3,5.8,9,5.7,6.8,5.4,7,5.8,6.3,6.9,7.9,7.8,4.8,6.3,5.5,2,5.7,7.2,7.4,7.3,7,6.5,7.8,7.5,7.8,7.8,7.5,6.7,8.3,6.4,7,4.7,7,7,7.4,6.7,8.6,7.9,6.8,6,8.3,6.7,7.8,6.8,9.3,7,,,7,,
10121088,6.7,8,7.7,9,8.5,7.8,6.9,7.1,7.2,6.9,9,7.4,7.3,6.3,7,2,7.3,6.5,7.7,5.8,6.7,6.5,1.5,2.5,7.3,8.3,7.4,6.7,8,4.4,5.8,7.1,7.8,8.4,8.5,7.2,7.6,5.7,7.5,7.9,6.8,7.8,8.2,7.4,8.4,0,6.8,8.7,7.5,7.3,8.3,6.7,9.3,7,,,7.8,,
10121454,6.8,6,7.2,7,8.5,8.1,7.2,5.2,6,6.9,8,7.2,8.3,6.5,7,3.8,7,6.5,7.2,5.9,6.5,6.5,6.5,5,5.1,7.5,6.8,6.4,7,4.3,6.2,6.7,6.8,8,7.8,6.2,8,7,4.8,7.2,6.3,7.4,7.7,6.9,7.4,7.5,5.5,6.5,6.9,7.5,7.4,6.8,8.6,6,,,7.6,,
