Mã SV,Công dân số (2+1*),Đại số tuyến tính,Giáo dục thể chất 1,Kỹ năng mềm,Lập trình Python cơ bản (2+1*),Pháp luật đại cương,Lênin,Cơ sở dữ liệu,Cơ sở kỹ thuật lập trình (2+1*),Giải tích,Giáo dục thể chất 2,Hóa học đại cương (1.5+0.5*),Kiến trúc máy tính,Cấu trúc dữ liệu và giải thuật (2+1*),Giải tích số,Giáo dục thể chất 3,Hệ điều hành,Hệ quản trị cơ sở dữ liệu (2+1*),Lập trình hướng đối tượng (2+1*),Lập trình ứng dụng Windows Form (2+1*),Tiếng Anh tăng cường,Công nghệ phần mềm,Đồ án 1,Kiểm thử phần mềm (2+1*),Mạng máy tính (2+1*),Thiết kế web cơ bản (2+1*),Tiếng Anh 1,Xác suất thống kê
10122202,8.3,8.7,9.0,9.5,8.4,8.5,8.1,7.8,6.8,9.0,7.0,9.2,9.0,6.3,9.5,7.0,9.5,8.3,7.2,8.5,8.0,7.4,8.2,8.1,9.2,7.2,8.3,9.4
10123351,7.2,8.8,8.0,9.1,9.0,7.5,8.3,7.4,8.8,7.0,8.0,8.1,8.0,9.1,7.4,8.0,8.0,8.7,9.3,7.0,7.0,8.3,9.0,8.3,8.4,7.7,8.5,8.2
12523052,6.8,1.8,5.0,7.5,5.7,1.5,1.5,0.0,2.7,1.3,6.0,5.3,3.0,6.8,1.5,6.0,1.5,2.6,2.0,0.0,7.0,0.0,1.0,6.3,6.9,3.7,7.6,1.3
10123210,6.9,6.0,7.0,8.9,6.9,5.5,6.1,0.0,0.0,0.0,7.0,7.7,3.3,6.1,4.5,8.0,1.5,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
10123119,5.9,7.8,7.0,7.7,6.7,6.0,6.7,6.0,5.1,7.1,0.0,6.8,7.3,7.4,3.4,6.0,1.5,2.9,2.1,0.0,1.5,1.5,0.0,0.0,0.0,0.0,0.0,3.3
12523017,6.5,7.4,8.0,8.8,6.9,5.8,5.9,2.0,3.6,5.7,0.0,5.7,7.0,7.4,6.2,6.0,1.5,5.9,2.1,3.7,0.0,1.8,1.0,0.0,0.0,6.2,0.0,5.5
10123330,5.8,5.5,9.0,8.4,7.4,5.5,5.6,5.9,5.1,6.1,0.0,7.6,7.3,8.2,4.4,8.0,4.3,2.2,2.1,3.7,0.0,2.0,1.0,0.7,0.0,6.6,0.0,7.3
12523025,6.0,5.7,7.0,8.9,7.2,5.5,6.9,2.2,5.9,7.7,0.0,6.1,8.3,6.0,3.2,0.0,1.5,1.6,6.1,0.0,0.0,5.8,3.8,1.5,6.9,6.8,0.0,5.1
12523033,6.3,4.7,5.0,7.8,6.0,6.0,6.1,7.4,6.9,5.8,6.0,7.2,7.3,7.2,4.7,0.0,1.5,6.9,2.1,0.0,0.0,2.0,1.0,0.0,7.5,3.7,1.6,5.5
12523088,5.9,8.7,8.0,8.5,7.0,6.3,6.3,2.0,6.2,6.1,8.0,7.5,8.5,7.3,5.5,8.0,3.8,5.4,7.2,7.0,7.0,1.3,1.0,7.2,6.3,0.0,0.2,0.3
12523014,7.5,8.2,9.0,9.0,7.8,7.3,7.7,5.3,8.3,6.4,0.0,6.7,8.3,7.4,2.7,8.0,6.0,6.5,2.0,3.9,4.0,3.2,3.2,6.5,6.3,6.5,0.0,6.2
10122104,7.0,7.2,8.0,8.3,2.0,7.4,7.0,5.5,5.3,8.9,8.0,6.9,7.5,5.4,8.3,5.0,,1.7,8.3,4.0,7.5,2.7,0.0,6.5,8.1,3.0,6.9,5.4
12523006,6.2,5.7,6.0,8.8,5.8,6.0,6.3,6.8,4.7,6.0,7.0,8.3,8.0,5.3,2.9,6.0,4.5,5.3,7.4,7.2,6.5,6.0,5.5,6.2,7.4,6.3,5.1,4.3
12523044,6.9,6.3,8.0,8.5,7.5,5.0,6.8,6.7,7.1,6.7,5.0,7.1,8.5,7.3,5.9,8.0,5.3,7.1,2.2,3.8,6.5,1.8,3.2,6.8,7.2,7.6,2.4,6.8
10123354,5.9,7.7,7.0,8.6,7.8,6.8,7.2,5.4,5.0,7.0,0.0,6.4,8.8,7.9,4.5,0.0,1.5,6.4,2.2,7.1,2.0,5.7,7.5,6.8,7.3,7.8,4.3,6.1
12523034,6.2,8.3,6.0,8.7,6.0,7.0,7.6,7.2,6.6,8.2,6.0,6.9,8.3,5.7,6.4,5.0,1.5,6.1,7.6,7.2,7.0,7.1,6.4,6.0,5.8,8.0,4.2,5.7
12523059,7.0,5.5,7.0,8.8,5.7,5.8,7.6,5.7,7.0,7.3,9.0,6.7,7.3,8.1,3.9,7.0,1.5,6.3,2.1,7.4,0.0,5.7,7.0,7.7,6.7,7.7,5.9,6.1
10123069,7.3,6.9,8.0,8.6,7.4,6.0,7.0,6.8,7.0,8.4,7.0,8.7,3.8,6.1,4.0,6.0,4.3,6.5,7.3,8.0,3.5,7.4,6.4,7.6,7.7,7.2,6.7,5.3
12523062,5.9,6.8,8.0,8.6,7.9,7.0,8.5,7.2,7.0,9.2,8.0,8.3,9.0,7.8,6.5,7.0,7.5,7.4,7.1,3.9,7.5,7.9,3.7,7.6,5.6,7.5,6.9,7.9
10123236,7.7,8.4,7.0,9.2,6.7,8.3,7.6,6.3,7.1,8.0,9.0,8.2,4.3,6.6,6.2,6.0,7.5,7.2,8.0,4.1,7.0,7.2,7.3,6.8,7.2,8.2,6.3,6.3
12523083,7.0,7.3,6.0,8.8,8.7,5.8,6.8,7.3,9.0,5.2,6.0,7.3,4.5,7.5,2.7,7.0,6.8,6.6,8.7,8.4,8.5,8.2,8.5,7.7,7.5,9.2,6.2,7.6
10123264,6.7,8.7,9.0,8.4,8.7,5.5,8.1,8.4,8.0,8.7,7.0,9.0,8.5,7.2,8.8,8.0,7.0,8.3,7.7,5.8,7.5,7.2,7.3,6.9,7.7,8.3,6.0,5.6
10123172,6.2,8.6,7.0,8.8,7.4,6.9,6.6,6.2,6.5,6.3,5.0,5.7,8.3,7.5,5.0,7.0,7.3,7.2,7.9,6.6,6.5,6.9,7.5,6.4,6.4,7.7,6.6,6.0
10123024,8.8,8.1,8.0,9.2,6.7,6.0,6.9,5.3,8.0,7.4,9.0,8.3,6.8,7.4,7.7,6.0,5.5,6.1,6.9,5.4,7.5,6.7,3.3,7.3,7.8,7.2,8.9,8.4
10623148,8.3,7.4,7.0,8.6,7.2,6.8,7.7,6.2,7.7,7.8,8.0,7.5,9.3,7.6,7.8,7.0,5.5,5.8,7.6,4.0,7.0,7.0,1.0,6.9,6.9,7.6,6.3,5.5
10123122,7.5,7.8,8.0,7.6,6.4,6.5,6.8,2.2,7.2,7.0,6.0,8.4,5.0,8.9,6.0,6.0,8.0,7.0,8.3,7.4,5.0,6.9,7.7,8.2,6.7,8.1,8.2,6.8
12523064,6.5,7.3,9.0,8.6,7.3,7.3,6.7,5.4,5.1,5.9,8.0,8.3,8.5,6.9,6.6,8.0,5.8,7.2,6.9,7.0,6.5,6.4,7.0,7.4,7.8,8.3,5.4,5.8
12523011,6.4,7.7,7.0,8.8,6.8,5.3,7.2,5.6,7.3,6.0,7.0,8.7,8.0,7.0,5.8,8.0,4.3,6.6,7.6,7.6,6.5,6.8,7.5,6.9,6.7,8.0,7.4,5.9
12523035,7.0,6.5,7.0,8.6,6.1,5.5,6.6,5.9,7.0,5.8,5.0,7.3,8.7,8.4,6.4,6.0,1.5,5.8,8.5,7.3,7.5,7.3,6.3,7.2,7.4,8.2,6.0,8.0
10123001,8.3,7.3,8.0,8.7,6.7,8.0,7.2,6.7,7.3,7.2,9.0,8.3,7.3,6.9,6.9,8.0,6.3,5.7,8.6,5.7,7.0,7.3,7.0,7.4,7.9,8.0,7.5,7.2
10123056,7.3,6.9,9.0,8.2,7.2,6.8,7.7,6.4,8.3,8.9,7.0,8.3,7.3,6.9,7.7,7.0,7.3,6.7,8.3,7.0,8.0,6.3,7.5,6.6,7.2,7.0,7.8,6.5
10123147,6.9,8.4,7.0,8.5,7.5,7.0,7.5,6.8,6.7,9.0,7.0,8.2,7.0,7.0,8.4,6.0,7.8,7.3,8.3,5.8,6.5,6.5,8.3,6.9,7.8,8.0,6.6,7.4
10123139,7.2,9.5,7.0,8.3,6.8,6.0,6.5,5.8,7.6,8.8,8.0,8.3,6.5,7.0,8.4,7.0,7.5,7.3,8.3,8.2,7.5,7.5,7.3,8.2,7.9,7.8,7.5,8.5
10123066,7.9,10.0,8.0,8.7,6.0,6.5,7.3,6.9,7.9,8.9,6.0,8.6,6.5,7.2,7.9,8.0,7.5,6.4,9.0,6.6,7.0,6.2,7.5,6.8,7.7,8.0,6.6,8.1
12523020,7.3,8.5,6.0,9.0,7.2,5.8,7.4,5.7,6.9,7.0,6.0,8.2,8.8,7.0,7.0,9.0,5.5,6.6,7.0,7.7,7.5,7.2,5.5,6.7,7.8,8.7,6.8,6.7
10123216,7.0,7.9,7.0,8.6,6.5,5.3,7.2,6.9,6.7,6.4,7.0,7.5,8.8,8.1,6.9,8.0,6.8,7.9,8.6,8.4,7.5,7.3,7.3,7.6,7.7,8.2,7.3,7.2
10123257,6.7,7.2,6.0,8.7,6.9,5.5,7.6,5.9,7.1,8.6,7.0,7.7,8.8,6.9,7.2,8.0,7.8,7.4,7.4,6.7,7.0,7.3,7.5,7.6,8.3,8.4,6.6,7.4
10123101,8.2,7.8,7.0,8.6,8.2,7.0,7.9,7.9,8.3,9.2,6.0,8.1,6.0,8.1,6.5,8.0,6.8,8.3,7.7,8.4,7.0,6.9,8.5,7.7,7.8,8.2,6.8,6.8
12523022,6.8,7.4,6.0,9.0,8.2,6.3,8.2,8.8,7.8,8.7,7.0,8.3,8.0,8.0,8.1,7.0,7.5,8.1,7.5,7.6,7.5,7.2,6.7,7.8,7.5,7.7,7.9,7.4
10123105,7.9,9.4,7.0,8.7,7.7,7.0,7.4,7.0,8.0,8.4,6.0,7.6,8.8,7.2,7.4,8.0,6.8,7.5,7.8,7.5,6.0,7.4,8.4,7.9,6.3,8.1,8.9,7.8
10123160,7.3,8.8,7.0,8.5,6.5,6.8,8.1,6.9,7.9,7.8,10.0,7.8,8.0,7.1,8.9,8.0,7.3,7.4,7.6,8.1,7.0,7.3,8.0,8.0,8.3,8.7,8.0,9.0
10123167,7.2,10.0,7.0,9.3,7.7,6.5,7.6,7.9,7.7,10.0,7.0,8.2,6.5,6.4,8.2,6.0,6.0,7.4,7.0,7.9,8.0,7.4,7.8,7.4,7.3,8.4,7.3,9.5
10123294,6.9,9.5,8.0,8.6,9.2,5.8,8.4,6.5,8.1,8.2,8.0,8.6,7.8,7.1,8.1,9.0,6.5,7.8,8.0,7.6,7.0,7.4,8.4,6.5,8.2,8.4,8.4,9.2
12523010,6.9,9.7,9.0,8.9,9.4,6.5,7.7,8.2,9.1,7.8,6.0,8.2,8.5,7.9,7.7,8.0,6.8,9.0,8.3,8.0,6.5,8.3,9.0,7.4,7.8,9.4,7.2,7.3
12523003,6.7,9.7,8.0,8.9,7.8,7.5,7.5,7.3,8.9,8.5,8.0,8.3,9.3,7.7,8.7,7.0,7.3,7.5,8.2,8.3,8.0,7.0,8.7,7.7,7.8,8.7,8.8,8.3
12523055,7.5,8.4,6.0,8.9,8.5,7.0,8.4,6.3,9.1,7.8,7.0,8.1,8.8,8.6,6.3,8.0,7.3,7.3,8.3,7.7,7.0,7.4,8.7,8.0,8.2,8.5,7.1,7.9
10123028,7.3,9.5,8.0,8.9,7.2,7.5,8.0,8.0,7.8,9.1,9.0,8.5,7.0,7.3,8.7,8.0,7.5,7.8,8.5,8.9,8.0,8.0,9.2,8.5,8.1,9.2,8.7,9.6
10123053,8.8,9.8,8.0,8.6,8.3,7.0,8.0,8.5,9.6,9.9,9.0,8.3,8.5,8.1,8.3,8.0,8.0,7.0,9.0,8.6,8.5,8.4,8.7,7.6,7.9,7.5,7.2,9.2
10123084,7.3,9.7,8.0,8.6,8.2,6.8,8.7,8.5,8.6,10.0,8.0,9.8,8.8,8.2,8.8,7.0,8.8,8.6,9.2,8.7,8.0,8.0,9.0,7.8,8.4,9.5,9.2,9.3
10123196,7.9,9.5,6.0,9.0,7.9,7.8,8.0,8.4,9.1,9.9,9.0,8.8,9.8,7.9,9.9,7.0,8.5,9.1,8.4,8.9,4.5,8.2,8.9,8.2,8.7,8.7,8.9,9.4
12523037,8.2,9.8,9.0,9.0,8.7,7.8,8.6,7.7,9.0,9.5,9.0,8.5,9.0,8.5,8.9,9.0,7.5,9.2,8.1,9.5,8.0,8.7,9.0,8.9,8.3,9.6,6.7,9.5
12523040,7.8,9.4,6.0,8.6,7.9,8.0,8.4,8.8,9.1,9.0,6.0,8.5,9.5,9.1,8.7,8.0,8.8,8.7,8.8,8.8,7.5,8.3,8.7,8.6,7.7,9.3,8.1,9.0
10123281,7.2,4.4,7.0,8.6,7.0,5.8,6.4,0.0,1.5,5.4,6.0,7.5,1.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.2,2.5,5.8,6.3,7.7,0.0,5.9
12523103,6.0,5.8,7.0,9.1,2.0,4.3,6.6,2.2,0.5,5.6,7.0,6.1,3.0,6.3,2.7,6.0,6.0,1.8,5.0,1.2,6.0,7.4,6.4,6.8,7.8,7.2,0.0,3.9
12523004,6.6,5.3,7.0,9.2,6.5,5.5,5.4,0.0,6.5,0.0,6.0,6.2,1.5,7.4,6.7,7.0,4.0,6.9,6.3,5.5,7.0,6.9,6.7,6.4,7.7,7.0,6.5,4.7
12523008,6.9,5.2,6.0,8.4,6.1,5.5,7.3,2.0,3.5,4.7,7.0,6.6,3.8,6.7,5.3,6.0,5.3,6.5,6.3,6.1,6.5,6.5,6.3,7.4,6.6,7.9,6.0,6.3
10123038,6.7,3.3,7.0,8.9,6.7,5.0,6.1,5.7,5.5,4.4,8.0,7.5,4.8,6.7,2.3,6.0,1.0,6.0,6.4,5.4,6.5,6.7,5.0,7.5,6.9,7.4,5.9,6.8
12523121,6.9,6.8,8.0,8.3,5.9,5.5,7.6,0.0,7.0,6.3,5.0,7.7,3.5,6.9,5.9,8.0,4.0,2.7,7.0,6.6,7.0,0.0,0.0,6.6,8.4,7.5,6.6,5.2
10123357,7.4,5.4,7.0,7.7,7.5,5.0,6.1,7.0,7.5,1.0,7.0,3.9,3.0,8.2,4.8,5.0,5.5,7.6,8.3,7.8,6.5,7.4,2.0,6.8,7.8,7.8,7.7,0.0
12523012,6.9,7.7,7.0,8.5,5.4,7.3,5.7,5.4,7.3,6.8,8.0,6.5,5.0,5.9,8.3,7.0,5.0,7.0,5.8,5.9,6.5,6.3,5.9,6.9,6.9,7.2,5.9,7.3
12523100,6.1,7.1,7.0,9.2,4.9,4.5,6.4,5.0,8.0,5.5,6.0,6.5,2.8,7.6,5.6,5.0,6.0,6.5,6.3,7.0,6.5,7.2,8.7,7.1,7.4,8.2,6.5,7.8
10123159,7.0,8.1,8.0,8.9,7.2,6.8,8.2,7.2,3.5,8.6,7.0,8.5,5.5,6.4,6.9,8.0,6.8,2.3,8.1,3.3,6.0,7.7,2.3,7.7,8.4,7.9,7.5,7.0
12523009,6.3,4.5,5.0,8.9,6.3,4.5,7.7,5.4,7.0,6.3,6.0,7.3,5.0,8.3,5.1,5.0,7.0,5.7,6.9,7.4,6.5,6.7,2.5,7.6,7.7,7.5,6.2,5.3
11023276,6.5,6.4,6.0,9.2,5.0,6.8,8.2,6.4,0.5,6.0,3.0,7.7,8.5,6.0,6.8,6.0,6.3,6.6,6.6,7.1,6.5,6.9,6.2,6.6,8.5,7.2,5.6,4.7
10123065,7.2,7.8,8.0,8.7,7.9,7.0,8.4,8.3,4.0,8.5,6.0,8.7,1.5,9.1,7.1,7.0,8.8,4.3,7.8,8.1,6.5,7.2,8.8,8.4,8.6,4.0,8.8,7.2
12523116,7.2,6.5,6.0,8.7,5.9,6.5,7.0,4.5,6.3,5.7,8.0,6.7,8.5,5.4,3.2,5.0,7.0,2.3,6.0,6.2,7.0,7.5,6.4,7.3,8.4,7.1,8.9,7.9
10123234,6.7,5.4,6.0,9.0,5.6,5.3,8.0,6.2,5.0,4.9,6.0,7.2,7.7,7.5,5.7,7.0,7.3,5.9,6.1,7.3,6.0,6.3,8.4,7.5,8.6,7.3,6.2,6.4
10123073,6.9,8.0,8.0,8.7,7.0,7.1,7.1,7.0,5.8,8.4,8.0,8.4,7.0,5.9,7.7,7.0,1.5,6.6,6.2,7.5,7.5,6.2,6.5,6.7,6.8,6.2,7.0,7.4
10123134,7.2,7.2,7.0,9.3,6.7,5.5,8.4,7.9,7.5,6.6,7.0,7.5,5.3,7.1,6.0,5.0,7.8,7.5,7.4,5.9,6.5,7.9,6.9,7.7,8.7,7.7,5.8,5.4
10121310,,4.3,7.0,7.6,5.3,5.8,6.1,4.7,5.5,4.9,6.0,,5.0,5.8,6.9,9.0,,6.7,7.0,8.0,7.0,,5.4,6.2,6.7,8.0,1.4,6.8
12523060,6.9,8.8,6.0,9.0,5.9,6.0,8.1,5.0,6.0,6.9,8.0,8.3,6.5,6.6,6.1,6.0,0.0,6.1,6.1,6.7,5.5,7.0,7.0,7.1,8.2,7.7,8.2,7.3
10123029,7.0,7.3,8.0,7.8,7.1,5.8,7.8,7.0,6.0,7.5,9.0,8.0,7.8,7.7,6.7,7.0,2.5,5.7,7.1,7.3,6.5,1.8,6.9,6.8,7.3,7.4,7.6,6.5
10123168,5.6,8.5,7.0,8.8,6.7,8.0,7.3,6.3,5.8,7.4,9.0,7.5,7.0,6.1,5.6,7.0,5.8,5.6,6.4,5.6,6.5,6.5,5.9,7.4,8.4,7.2,6.6,7.9
10123324,7.2,8.3,9.0,9.0,7.2,5.5,7.5,6.3,5.1,7.9,9.0,7.3,8.3,6.9,7.4,6.0,5.8,5.7,6.9,6.8,6.5,1.9,6.3,7.9,8.3,7.4,7.8,7.7
12523029,7.4,6.3,6.0,9.1,6.2,6.5,7.6,6.8,8.8,5.9,8.0,7.2,8.4,6.7,8.4,8.0,7.5,7.2,7.8,7.2,7.5,7.0,8.3,7.9,9.2,8.6,8.5,6.8
10123255,6.7,7.2,8.0,9.0,5.9,6.0,8.3,7.0,6.8,8.6,6.0,8.0,4.8,7.9,7.7,9.0,8.0,7.5,7.6,8.0,6.5,7.8,9.4,7.8,8.4,8.5,7.1,8.9
10123341,7.4,9.7,8.0,8.8,6.9,6.5,7.8,6.0,8.5,7.5,5.0,8.5,6.5,7.0,8.7,7.0,7.3,7.1,6.8,8.5,7.0,7.4,8.0,7.5,8.2,8.1,6.5,9.2
10123240,7.2,7.2,10.0,7.4,6.6,5.3,7.6,7.9,6.6,8.4,9.0,7.2,7.0,7.8,6.6,8.0,7.0,6.7,6.2,6.8,6.5,8.0,7.3,6.6,8.3,8.0,5.7,8.4
10123100,7.7,7.3,7.0,8.2,6.7,4.7,7.1,7.6,8.3,8.8,7.0,7.4,6.8,6.9,6.8,9.0,8.0,5.9,6.6,7.8,7.0,7.8,6.3,7.1,7.4,7.5,7.9,7.7
12523112,6.6,8.7,8.0,9.1,6.7,6.8,8.4,5.5,6.8,9.3,7.0,7.1,5.8,6.5,6.6,8.0,7.0,6.2,6.4,8.0,6.5,7.8,6.7,7.2,8.4,8.7,6.1,8.3
10123320,6.2,7.0,8.0,7.8,6.5,6.9,6.0,6.5,5.5,6.5,10.0,7.6,6.8,8.1,6.4,9.0,7.0,7.2,7.0,8.7,6.5,7.9,9.5,6.7,8.3,8.4,7.1,9.4
10123271,7.1,9.7,8.0,8.9,7.2,6.9,7.6,8.3,8.5,7.8,9.0,7.1,7.3,6.2,,6.0,6.5,,7.0,,6.5,6.8,7.2,6.8,7.7,7.8,0.0,8.1
10123369,7.9,9.7,7.0,8.7,9.1,6.0,7.6,7.9,8.3,9.3,7.0,7.0,8.3,9.0,8.0,7.0,7.8,7.9,8.0,9.1,6.5,8.0,9.0,8.3,9.1,9.1,6.4,8.5
10123156,6.8,9.4,8.0,8.8,7.0,6.5,7.9,7.2,6.8,7.6,7.0,7.7,6.8,7.5,8.5,7.0,5.0,7.4,6.4,6.5,7.0,6.2,5.9,8.1,8.3,7.6,7.9,7.1
10123072,7.0,7.4,7.0,7.4,6.8,7.0,7.8,6.9,7.3,8.4,5.0,7.8,7.5,6.6,6.6,7.0,8.3,7.6,7.0,6.4,5.5,7.4,6.7,6.9,7.3,7.0,6.5,8.4
10123233,6.7,8.8,8.0,8.0,6.9,7.0,7.2,6.3,6.0,8.0,9.0,6.5,6.5,6.9,7.7,7.0,7.5,7.0,6.9,7.6,6.5,7.3,7.2,7.0,7.1,7.7,9.0,9.0
10123267,6.9,7.9,6.0,8.2,7.2,7.2,7.5,7.5,6.0,8.5,6.0,7.7,6.5,6.3,8.8,6.0,6.8,6.4,7.2,7.6,6.5,8.4,8.3,6.8,8.3,7.6,7.0,9.2
10123241,7.9,8.8,8.0,8.1,7.1,5.5,7.3,6.3,6.5,7.8,7.0,8.5,7.3,8.0,7.8,6.0,6.8,5.9,7.8,6.7,6.5,7.4,9.4,7.5,7.6,7.8,7.7,9.1
12523081,6.5,7.1,8.0,9.3,8.0,7.8,7.5,6.9,7.5,6.2,7.0,6.9,7.3,7.7,8.0,8.0,6.5,9.1,7.3,8.5,7.5,8.0,8.7,7.3,8.0,8.7,9.2,7.8
