Mã SV,Công dân số (2+1*),Đại số tuyến tính,Giáo dục thể chất 1,Hóa học đại cương (1.5+0.5*),Kỹ năng mềm,Lập trình Python cơ bản (2+1*),Lênin,Cơ sở dữ liệu,Cơ sở kỹ thuật lập trình (2+1*),Giải tích,Giáo dục thể chất 2,Kiến trúc máy tính,Pháp luật đại cương,Cấu trúc dữ liệu và giải thuật (2+1*),Đại cương về kinh tế và môi trường,Giáo dục thể chất 3,Hệ điều hành,Hệ quản trị cơ sở dữ liệu (2+1*),Lập trình hướng đối tượng (2+1*),Lập trình ứng dụng Windows Form (2+1*),Tiếng Anh tăng cường,Chủ nghĩa xã hội khoa học,Công nghệ phần mềm,Đồ án 1,Lập trình Python nâng cao (2+1*),Thiết kế web cơ bản (2+1*),Tiếng Anh 1,Toán rời rạc,Vật lý kỹ thuật
12423029,7.3,4.8,6.0,6.7,8.2,5.6,7.7,5.5,6.6,2.9,5.0,5.5,6.5,5.8,7.2,7.0,5.5,7.2,6.6,7.0,6.5,6.7,5.3,6.7,0.0,7.6,6.1,7.7,6.2
10123227,6.5,5.8,6.0,7.7,8.4,7.8,6.9,6.8,7.4,6.2,5.0,7.3,7.0,7.4,6.9,6.0,5.3,7.2,8.3,6.3,7.0,5.4,4.2,1.3,4.5,7.0,6.2,3.2,6.5
12423022,7.4,9.4,7.0,6.9,8.3,6.6,6.8,5.4,3.6,8.8,7.0,5.8,7.0,6.3,7.0,5.0,7.5,7.0,8.2,7.3,6.5,5.7,0.8,1.3,6.9,7.5,6.5,6.6,6.2
12423035,7.3,7.6,6.0,5.9,8.3,9.6,7.3,6.8,9.6,7.4,0.0,7.8,6.0,8.4,7.9,7.0,5.8,8.5,7.4,8.5,4.5,6.9,0.8,6.3,0.0,8.5,4.9,7.4,5.9
12423062,6.7,6.7,6.0,7.5,8.2,7.0,7.5,6.9,7.2,7.3,7.0,8.5,6.5,5.4,7.8,6.0,6.0,7.1,7.8,4.8,6.5,7.4,7.2,6.5,7.2,7.1,6.1,7.2,6.9
12423063,6.8,7.5,5.0,7.1,8.2,7.3,6.5,6.0,7.2,7.4,8.0,7.3,6.3,7.2,7.2,6.0,8.0,7.8,6.9,8.3,6.5,6.0,8.3,7.9,9.3,8.0,5.6,7.2,2.2
12423010,6.9,9.0,8.0,7.3,8.4,7.4,7.2,6.0,7.5,6.8,8.0,6.5,6.0,6.4,6.7,7.0,6.3,7.5,7.9,6.0,7.5,6.9,5.9,6.4,4.5,7.2,7.4,7.5,6.7
10123307,8.7,9.4,10.0,7.1,8.4,6.4,8.1,6.8,7.0,7.5,7.0,0.0,7.0,6.5,7.2,8.0,7.3,8.0,5.9,7.5,7.0,7.0,6.8,7.0,7.8,7.7,7.3,6.2,7.4
12423049,7.5,6.7,7.0,6.2,8.6,8.0,7.7,6.7,8.3,2.7,9.0,8.5,7.3,7.0,8.5,6.0,6.5,8.0,8.1,8.5,6.5,6.8,6.8,8.2,8.8,9.2,6.7,6.8,7.1
12423057,6.4,9.0,8.0,6.3,8.4,6.8,7.7,6.5,8.4,7.5,9.0,8.3,6.3,6.1,7.7,8.0,6.5,7.2,6.4,7.5,8.0,6.7,8.3,7.8,6.5,6.5,7.9,6.9,8.0
12423047,6.7,7.7,7.0,7.2,8.0,7.6,8.2,7.5,7.5,6.7,9.0,7.5,7.8,7.1,7.4,8.0,8.0,7.8,6.8,6.8,6.5,6.8,8.8,7.9,8.2,8.6,7.4,7.4,7.9
12423027,7.2,8.4,8.0,6.8,8.6,7.4,7.5,5.5,8.2,6.9,7.0,7.8,5.8,7.1,7.1,8.0,8.0,8.4,7.4,7.0,7.0,6.7,7.3,7.4,7.9,7.8,7.2,7.1,7.2
12423043,6.7,8.9,7.0,6.9,8.0,8.2,7.7,7.0,7.8,8.3,6.0,7.8,6.8,6.8,7.9,7.0,6.0,7.1,7.2,6.8,7.5,6.7,6.4,7.4,6.9,6.5,6.0,7.0,6.9
10123329,7.8,8.3,7.0,7.3,8.3,7.4,7.8,7.8,7.4,9.0,6.0,6.8,7.5,6.7,8.5,8.0,8.0,6.9,6.3,6.8,7.0,7.1,5.5,5.8,6.8,7.1,6.4,5.9,6.6
12423004,7.2,7.4,6.0,6.5,8.1,7.0,6.8,6.9,7.9,7.8,8.0,8.8,5.8,8.3,8.3,8.0,7.3,7.0,7.3,8.0,6.5,5.9,7.0,7.7,8.0,7.0,6.7,7.5,7.2
12423005,6.8,9.2,8.0,8.2,8.2,8.0,8.9,7.7,9.3,9.3,8.0,9.8,7.5,8.9,8.1,8.0,9.5,9.0,8.5,8.5,6.5,7.8,9.4,8.5,9.3,8.5,6.8,8.0,8.2
12423026,6.8,6.7,6.0,6.7,8.0,6.7,7.3,6.3,7.9,5.9,7.0,8.0,7.5,6.9,7.0,8.0,8.0,7.5,6.2,6.8,6.5,6.9,6.4,6.8,7.8,7.5,7.2,6.5,6.9
12423002,6.5,8.2,5.0,6.5,8.0,6.7,6.8,6.7,6.8,7.7,5.0,7.5,7.8,6.8,8.0,8.0,7.8,6.8,7.2,6.3,5.5,6.3,8.3,7.4,8.8,8.0,7.6,6.6,7.7
10123015,6.7,7.0,6.0,8.1,9.4,5.4,7.5,7.3,6.6,7.2,6.0,6.0,7.0,7.0,8.9,8.0,7.8,8.0,7.4,6.5,7.5,6.4,7.8,7.3,8.0,7.5,7.2,7.0,7.1
12423031,6.8,7.9,6.0,8.0,8.4,7.2,8.2,6.0,8.1,8.6,6.0,8.8,6.3,7.0,8.6,7.0,9.5,7.9,6.8,6.3,7.0,7.2,6.5,6.8,6.9,7.5,5.8,7.4,6.8
12523002,6.7,8.2,8.0,8.3,9.4,6.9,7.6,6.9,8.3,8.2,7.0,7.0,6.5,8.4,7.8,8.0,5.8,7.6,7.5,9.0,7.0,6.8,8.2,8.2,8.8,7.6,7.2,6.6,7.5
12423014,6.3,7.2,6.0,6.9,8.5,7.9,8.2,7.7,8.2,7.3,6.0,8.5,7.3,7.0,7.7,7.0,7.0,7.7,7.9,6.5,7.0,6.2,6.3,6.5,7.7,7.3,6.5,7.5,7.0
10123096,7.4,8.9,7.0,8.3,8.5,8.2,8.2,5.8,8.5,7.9,8.0,8.3,6.3,7.1,7.5,7.0,8.8,7.0,6.9,7.5,7.0,7.0,6.7,6.0,8.3,8.2,7.6,6.6,7.2
12423016,6.3,8.4,8.0,8.0,8.6,8.1,7.8,7.8,7.6,8.1,9.0,8.5,7.0,8.0,6.9,9.0,7.5,7.9,7.5,7.0,7.0,7.2,8.2,7.7,7.4,8.1,7.0,7.1,7.8
12423017,8.0,7.9,7.0,7.6,8.2,8.4,8.0,7.5,8.7,9.4,6.0,8.8,6.3,7.7,8.1,6.0,8.3,7.9,7.9,8.3,7.0,8.0,8.3,9.0,8.4,8.7,6.9,7.2,7.7
12423009,7.4,9.4,8.0,7.7,8.8,8.7,7.7,7.7,9.7,8.2,6.0,8.8,7.3,8.9,7.6,8.0,8.0,9.3,7.8,9.0,7.5,7.4,8.9,8.3,8.8,8.7,8.0,7.9,7.0
12423073,7.4,8.8,7.0,6.9,8.4,7.1,8.2,7.7,8.1,9.2,7.0,9.3,7.8,8.0,8.7,7.0,9.3,8.5,7.5,8.0,7.5,7.7,7.9,8.2,9.0,8.7,6.7,8.9,9.0
12423011,7.7,8.8,9.0,8.6,8.7,9.2,8.9,9.3,9.8,9.2,9.0,9.3,6.8,8.9,8.7,9.0,9.5,9.3,8.9,9.0,6.5,7.4,9.4,9.3,9.3,8.6,8.1,7.0,7.7
